vrithiyaakkiyathinu,വൃത്തിയാക്കിയത്തിനു
munnokkakkaarum,മുന്നോക്കക്കാരും
akkadamiyalla,അക്കാദമിയല്ല
kosttiyoomukalumaayi,കോസ്റ്റിയൂമുകളുമായി
randudevasvangalude,രണ്ടുദേവസ്വങ്ങളുടെ
idayanundaayirunnu,ഇടയനുണ്ടായിരുന്നു
kittunnathumilla,കിട്ടുന്നതുമില്ല
kummanathintethaayi,കുമ്മനത്തിന്റേതായി
shikkaanidavarum,ശിക്കാനിടവരും
drogo,ഡ്രോഗോ
madyachillara,മദ്യചില്ലറ
enikkarinjukoode,എനിക്കറിഞ്ഞുകൂടെ
thudarsamrakshanam,തുടർസംരക്ഷണം
upagrahangalaayirunnu,ഉപഗ്രഹങ്ങളായിരുന്നു
mansiyumaayulla,മൻസിയുമായുള്ള
akalepokaan,അകലെപോകാൻ
palluvaakkukalude,പള്ളുവാക്കുകളുടെ
nadathikondupokaan,നടത്തികൊണ്ടുപോകാൻ
sankaraachaaryanum,ശങ്കരാചാര്യനും
kalangenda,കലങ്ങേണ്ട
kadappathraadhishtitha,കടപ്പത്രാധിഷ്ഠിത
aniyaraneekkangalaanu,അണിയറനീക്കങ്ങളാണ്
swabhaavamonnu,സ്വഭാവമൊന്നു
neerasathode,നീരസത്തോടെ
kuzhechathurayil,കുഴെച്ചതുറയിൽ
orennamennaanu,ഒരെണ്ണമെന്നാണ്
maraykkaarundallo,മരയ്ക്കാറുണ്ടല്ലോ
anthirichu,അന്തിരിച്ചു
pokunnuvallo,പോകുന്നുവല്ലോ
muhammiyanaaya,മുഹമ്മിയനായ
yogachikitsa,യോഗാചികിത്സയും
khanaani,ഖനാനി
vilaripidichavaraakaam,വിളറിപിടിച്ചവരാകാം
undaakkivannath,ഉണ്ടാക്കിവന്നത്
kottiyayile,കോട്ടിയയിലെ
eerchavaal,ഈർച്ചവാൾ
cheytheedu,ചെയ്തീടു
nakshatraadhipan,നക്ഷത്രാധിപൻ
avatharichennum,അവതരിച്ചെന്നും
skotlant,സ്കോട്ട്ലന്റ്
melai,മേലൈ
pidookoodiyengilum,പിടൂകൂടിയെങ്കിലും
iniyumonnu,ഇനിയുമൊന്ന്
yadhaartharekhakalude,യഥാർഥരേഖകളുടെ
prekshakaniroopaka,പ്രേക്ഷകനിരൂപക
lokkeshanukalaanu,ലോക്കേഷനുകളാണ്
keralatthilennu,കേരളത്തിലെന്ന്
thalayarinjennum,തലയരിഞ്ഞെന്നും
madyapaanavumillaatha,മദ്യപാനവുമില്ലാത്ത
graamanyaayaalayangalum,ഗ്രാമന്യായാലയങ്ങളും
irayaakkiyathaanoyennu,ഇരയാക്കിയതാണോയെന്ന്
thrikkaakkarappanum,തൃക്കാക്കരപ്പനും
azharuddin,അസ്ഹറുദ്ദീന്
chalanamundaakkaathepoya,ചലനമുണ്ടാക്കാതെപോയ
nellittu,നെല്ലിട്ടു
kedubaadhichathum,കേടുബാധിച്ചതും
roottukalundu,റൂട്ടുകളുണ്ട്
aparichithamaay,അപരിചിതമായ്
nirdeshakaasoothranam,നിർദേശകാസൂത്രണം
labhichathenthu,ലഭിച്ചതെന്ത്
aabhijaathyamo,ആഭിജാത്യമോ
ozhichene,ഒഴിച്ചേനെ
maalikakalaanu,മാളികകളാണ്
vyaaparikkanamenkil,വ്യാപരിക്കണമെങ്കില്
mechamundu,മെച്ചമുണ്ട്
meterilumenna,മീറ്ററിലുമെന്ന
canellos,കാനലോസ്
pazhathotta,പഴത്തോട്ട
koonnammaavu,കൂന്നമ്മാവ്
kachadava,കച്ചടവ
asathyapracharanangalude,അസത്യപ്രചരണങ്ങളുടെ
sammaanamvare,സമ്മാനംവരെ
divasathekkurichu,ദിവസത്തേക്കുറിച്ച്
kaadukalilekkum,കാടുകളിലേക്കും
jeevithasambhavangal,ജീവിതസംഭവങ്ങൾ
sthaanathethiya,സ്ഥാനത്തെത്തിയ
taattuvine,ടാറ്റുവിനെ
ezhunnallikkumbo,എഴുന്നള്ളിക്കുമ്പോ
doshamundekilum,ദോഷമുണ്ടെകിലും
indiakkaaranaayathu,ഇന്ത്യക്കാരനായത്
kalumketty,കാലുംകെട്ടി
shamazhayaayi,ഷമഴയായി
kaarudeyokke,കാരുടെയൊക്കെ
kkadimappedukayo,ക്കടിമപ്പെടുകയോ
peduthatthakka,പെടുത്തത്തക്ക
jhaamsi,ഝാൻസി
nikshepikkukayilla,നിക്ഷേപിക്കുകയില്ല
viralaano,വിരലാണോ
janathintemel,ജനത്തിന്റെമേൽ
chuttuneettunna,ചുട്ടുനീറ്റുന്ന
aadyapralayathinushesham,ആദ്യപ്രളയത്തിനുശേഷം
vellangalu,വെള്ളങ്ങള്
ukrainulla,യുക്രൈനുള്ള
podkaastukalumaayi,പോഡ്കാസ്റ്റുകളുമായി
verittamatsaram,വേറിട്ടമത്സരം
padapurappaadaanu,പടപുറപ്പാടാണ്
jodhpoorilulla,ജോധ്പൂരിലുള്ള
thanippakarppilum,തനിപ്പകർപ്പിലും
blogumokkeyaayi,ബ്ലോഗുമൊക്കെയായി
modatteraayirunnu,മോഡറ്റേറായിരുന്നു
gorikal,ഗോറികൾ
fatnavisine,ഫട്നവിസിനെ
anakhaa,അനഖാ
mullinodu,മുള്ളിനോട്
parasyangalidaan,പരസ്യങ്ങളിടാൻ
yuvaakkaleyenkilum,യുവാക്കളെയെങ്കിലും
mohanilekku,മോഹനിലേക്ക്
praayamullavarkkaanu,പ്രായമുള്ളവർക്കാണ്
prabhaapooramandasmitham,പ്രഭാപൂരമന്ദസ്മിതം
nibandhanayaayirikkum,നിബന്ധനയായിരിക്കും
adhehatheyum,അദ്ധേഹത്തെയും
nilatt,നിലത്ത്
vendasamayam,വേണ്ടസമയം
vilarchayilekku,വിളർച്ചയിലേക്ക്
stosinu,സ്റ്റോസിന്
karadikkutty,കരടിക്കുട്ടിയുടെ
danthaparishodhanaa,ദന്തപരിശോധനാ
ashrayikkunnapaksham,ആശ്രയിക്കുന്നപക്ഷം
janopakaraapradamaaya,ജനോപകരാപ്രദമായ
staafumaarum,സ്റ്റാഫുമാരും
graafikkaanennum,ഗ്രാഫിക്കാണെന്നും
pokkunniyappan,പൊക്കുന്നിയപ്പൻ
javaharinte,ജവഹറിന്റെ
noonan,നൂനാൻ
ayakkathirunnathum,അയക്കാതിരുന്നതും
vaidyuthaaghaatham,വൈദ്യുതാഘാതം
kandennumokke,കണ്ടെന്നുമൊക്കെ
nabicharyakkulla,നബിചര്യക്കുള്ള
lisammayaayi,ലിസമ്മയായി
aadarikkappedunnathu,ആദരിക്കപ്പെടുന്നതു
aadittoriyavumellam,ആഡിറ്റോറിയവുമെല്ലാം
skettimginullil,സ്കേറ്റിംഗിനുള്ളിൽ
adarthimaattukayum,അടർത്തിമാറ്റുകയും
pomvazhiyaanith,പോംവഴിയാണിത്
aaghoshikkaarundu,ആഘോഷിക്കാറുണ്ട്
nilatthirakkunnathu,നിലത്തിറക്കുന്നത്
laukikathayodu,ലൌകികതയോട്
aichikamundu,ഐച്ഛികമുണ്ട്
parishodhikkaathathumaaya,പരിശോധിക്കാത്തതുമായ
hefner,ഹെഫ്നറും
varendathaanennaanu,വരേണ്ടതാണെന്നാണ്
thaanann,താനന്ന്
kothamangalamkaar,കോതമംഗലംകാർ
reethikalkkethire,രീതികൾക്കെതിരെ
nettingal,നെറ്റിങ്ങൽ
onpathaamathethum,ഒൻപതാമത്തേതും
padaviyillaathirunna,പദവിയില്ലാതിരുന്ന
pooriyedutthu,പൂരിയെടുത്ത്
makalekkaal,മകളേക്കാൾ
thedunnathinaayi,തേടുന്നതിനായി
thorumaanu,തോറുമാണ്
kireedamoham,കിരീടമോഹം
kaithappoovumaayu,കൈതപ്പൂവുമായ്
marukukalekkurichu,മറുകുകളെക്കുറിച്ചു
kayund,കയുണ്ട്
kroorathayudeyo,ക്രൂരതയുടെയോ
karaareduthayaalude,കരാറെടുത്തയാളുടെ
swaathikayum,സ്വാതികയും
kunjikkayeppatti,കുഞ്ഞിക്കയെപ്പറ്റി
krithamaakanam,കൃതമാകണം
deuticheythirunna,ഡ്യൂട്ടിചെയ്തിരുന്ന
nalkaanaayimaatram,നൽകാനായിമാത്രം
soliyil,സോളിയിൽ
marikkunnathuvareyum,മരിക്കുന്നതുവരേയും
bodhathaalu,ബോധത്താല്
gleam,ഗ്ലീം
veshamumaayi,വേഷമുമായി
maamaankatheyum,മാമാങ്കത്തെയും
guruvachanangale,ഗുരുവചനങ്ങളെ
shubhajit,ശുഭജിത്
rogapeedakal,രോഗപീഡകൾ
eshyakappinide,ഏഷ്യകപ്പിനിടെ
thirusheshippaanenn,തിരുശേഷിപ്പാണെന്ന്
kaipidiyilekku,കൈപിടിയിലേക്ക്
prapouthri,പ്രപൌത്രി
nidravaraathorurogi,നിദ്രവരാത്തൊരുരോഗി
criminalised,ക്രിമിനലൈസ്ഡ്
theodoros,തിയോഡോറോസ്
bhaagathuninnethiya,ഭാഗത്തുനിന്നെത്തിയ
kazhsariloode,കഴ്സറിലൂടെ
pradeshamaanennath,പ്രദേശമാണെന്നത്
aayishath,ആയിശത്ത്
yuvakomalanumaaya,യുവകോമളനുമായ
shakkeelathanne,ഷക്കീലതന്നെ
enikkariyaavoo,എനിക്കറിയാവൂ
kaliyallenna,കളിയല്ലെന്ന
sikkile,സിക്കിലെ
banasura,ബാണാസുര
izhayichu,ഇഴയിച്ച്
pradhaananimishangal,പ്രധാനനിമിഷങ്ങൾ
irimbulakka,ഇരിമ്പുലക്ക
shagraamapadhathiyil,ശഗ്രാമപദ്ധതിയില്
kaaryakshamathayenn,കാര്യക്ഷമതയെന്ന്
kodumthattippu,കൊടുംതട്ടിപ്പ്
neutroninteyum,ന്യൂട്രോണിന്റേയും
maafiyayudeyum,മാഫിയയുടേയും
sentarinteyum,സെൻററിന്റെയും
kollamvila,കൊല്ലംവിള
sarineppatti,സറിനെപ്പറ്റി
pachonthinte,പച്ചോന്തിന്റെ
idaakkuka,ഇടാക്കുക
rajeshwarina,രാജേശ്വരിന
bansaalinte,ബൻസാലിന്റെ
eliolam,എലിയോളം
vellappaallikk,വെള്ളപ്പാള്ളിക്ക്
bathumaayi,ബത്തുമായി
pulimurukanilullath,പുലിമുരുകനിലുള്ളത്
plimgiyirunnathu,പ്ലിംഗിയിരുന്നത്
apamaanichoo,അപമാനിച്ചൂ
samvadhaanangalum,സംവധാനങ്ങളും
samrambhakaraayittulla,സംരംഭകരായിട്ടുള്ള
jihaadikalekkurichu,ജിഹാദികളെക്കുറിച്ച്
inganirunnu,ഇങ്ങനിരുന്ന്
koodikaazhchakku,കൂടികാഴ്ച്ചക്കു
nashtapedumbol,നഷ്ടപെടുമ്പോൾ
kambinikalaaya,കമ്പിനികളായ
iravaalar,ഇരവാളർ
kidannathumaayi,കിടന്നതുമായി
sthaanathumaakum,സ്ഥാനത്തുമാകും
stadeesilum,സ്റ്റഡീസിലും
mejasttikinaduthu,മെജസ്റ്റികിനടുത്ത്
olikkunnathaayi,ഒലിക്കുന്നതായി
bhoogolathinte,ഭൂഗോളത്തിന്റെ
premikkunnavarum,പ്രേമിക്കുന്നവരും
vaangichethaam,വാങ്ങിച്ചെത്താം
dauthyayaathra,ദൌത്യയാത്ര
thazhnnavarennum,താഴ്ന്നവരെന്നും
jihadiyudeyum,ജിഹാദിയുടെയും
bioda,ബയോഡാ
kandanaad,കണ്ടനാട്
shariyaavano,ശരിയാവണോ
njangalavante,ഞങ്ങളവന്റെ
mukhangalileppozhum,മുഖങ്ങളിലെപ്പോഴും
othungippoyennu,ഒതുങ്ങിപ്പോയെന്ന്
upakaranangalundo,ഉപകരണങ്ങളുണ്ടോ
viruthangal,വിരുത്തങ്ങൾ
vakayundaakkunnathu,വകയുണ്ടാക്കുന്നത്
thannayaanennaanu,തന്നയാണെന്നാണ്
chankupidakkunna,ചങ്കുപിടക്കുന്ന
vrathamedukkanamennum,വ്രതമെടുക്കണമെന്നും
paramaavadhiyum,പരമാവധിയും
kashnangalaano,കഷ്ണങ്ങളാണോ
pizhavukalumundennum,പിഴവുകളുമുണ്ടെന്നും
ilichu,ഇളിച്ച്
breesh,ബ്രീഷ്
naaduvittithu,നാടുവിട്ടിത്
pratheethiyude,പ്രതീതിയുടെ
pidichathennaano,പിടിച്ചതെന്നാണോ
prathishtaakarmavum,പ്രതിഷ്ഠാകർമവും
dalithukalaaya,ദലിതുകളായ
oomalettu,ഓമലെറ്റ്
pravachanamanusarichaanu,പ്രവചനമനുസരിച്ചാണ്
chinthikkanamennilla,ചിന്തിക്കണമെന്നില്ല
aavipidikkumbol,ആവിപിടിക്കുമ്പോൾ
mallikarjunu,മല്ലികാർജുന്
narayanashramam,നാരായണാശ്രമം
lifttinullil,ലിഫ്റ്റിനുള്ളില്
sthaanaardhiyaakkunna,സ്ഥാനാർഥിയാക്കുന്ന
mathramundaakum,മാത്രമുണ്ടാകും
thadippilekku,തടിപ്പിലേക്ക്
vimalaraju,വിമലരാജു
kuzhalnaadanodum,കുഴൽനാടനോടും
crain,ക്രെയിൻ
muzhumikkunnu,മുഴുമിക്കുന്നു
bhagyavaanallaathe,ഭാഗ്യവാനല്ലാതെ
thanneyundaavaam,തന്നെയുണ്ടാവാം
ottamuriveedum,ഒറ്റമുറിവീടും
karuthathunikkashnam,കറുത്തതുണിക്കഷ്ണം
shikshikk,ശിക്ഷിക്ക്
shakthikuranjennaanu,ശക്തികുറഞ്ഞെന്നാണ്
paittigirsk,പെയ്റ്റിഗിർസ്ക്
anumathikkethiraaya,അനുമതിക്കെതിരായ
pattinippaadum,പട്ടിണിപ്പാടും
vaypaaya,വയ്പായ
lankettil,ലങ്കേറ്റിൽ
mazhakazhiyunnathode,മഴകഴിയുന്നതോടെ
vidoorabandhame,വിദൂരബന്ധമേ
chirikkunnathinum,ചിരിക്കുന്നതിനും
zhukayaanu,ഴുകയാണ്
shanithinu,ശനിത്തിന്
chunkathu,ചുങ്കത്തു
eluppamaanennathinaal,എളുപ്പമാണെന്നതിനാൽ
chakkupole,ചാക്കുപോലെ
thirichukodutthathum,തിരിച്ചുകൊടുത്തതും
varuthedukkunna,വറുത്തെടുക്കുന്ന
kurakkaathatthil,കുറക്കാതത്തിൽ
kuttamaakunnilla,കുറ്റമാകുന്നില്ല
bristolilumaanu,ബ്രിസ്റ്റോളിലുമാണ്
mathramollu,മാത്രമൊള്ളൂ
zabihullah,സാബിയുള്ള
nivedanathin,നിവേദനത്തിൻ
parayukayaanennu,പറയുകയാണെന്ന്
yaathrayaavumbol,യാത്രയാവുമ്പോൾ
spottukalaanu,സ്പോട്ടുകളാണ്
appaadanmaareyum,അപ്പാടന്മാരെയും
aashvaasamaayum,ആശ്വാസമായും
vereyidamilla,വേറെയിടമില്ല
vivaranathilaayirunnu,വിവരണത്തിലായിരുന്നു
orennameduthu,ഒരെണ്ണമെടുത്ത്
icisiyil,ഐസിസിയിൽ
irupathaazhcha,ഇരുപതാഴ്ച
vettumetta,വെട്ടുമേറ്റ
sakeerinte,സകീറിന്റെ
niyukthamaayittulla,നിയുക്തമായിട്ടുള്ള
kadhakalilokathe,കഥകളിലോകത്തെ
lalithamaakkiyenkilum,ലളിതമാക്കിയെങ്കിലും
kollampalayathu,കൊല്ലംപാളയത്ത്
kothichittullathu,കൊതിച്ചിട്ടുള്ളത്
sinimavareyulla,സിനിമവരെയുള്ള
janeevayileyum,ജനീവയിലേയും
asahishnathayil,അസഹിഷ്ണതയിൽ
bhoumakendreekrithamaaya,ഭൌമകേന്ദ്രീകൃതമായ
khureshiyude,ഖുറേഷിയുടെ
avarilekketthum,അവരിലേക്കെത്തും
apakadamundaakaruthu,അപകടമുണ്ടാകരുത്
koottukoodumo,കൂട്ടുകൂടുമോ
shraadhadinamaayi,ശ്രാദ്ധദിനമായി
binufahad,ബിനുഫഹദ്
pavaliyanilaayirunnu,പവലിയനിലായിരുന്നു
goodallur,ഗൂഡല്ലൂർ
vazhangaathirunnal,വഴങ്ങാതിരുന്നാൽ
chukkan,ചുക്കൻ
kaividaatheyirunna,കൈവിടാതെയിരുന്ന
maikkukalaanu,മൈക്കുകളാണ്
arupathaamath,അറുപതാമത്
nattal,നട്ടാൽ
samghadanakalkkethire,സംഘടനകൾക്കെതിരെ
venannaayirunnu,വേണന്നായിരുന്നു
theerppaakkenda,തീർപ്പാക്കേണ്ട
bhakshanamthadanju,ഭക്ഷണംതടഞ്ഞ്
mikkaanaavumennaanu,മിക്കാനാവുമെന്നാണ്
chirakariyaanaayirunnu,ചിറകരിയാനായിരുന്നു
praayamaayavarvare,പ്രായമായവർവരെ
thakartherinjukondu,തകർത്തെറിഞ്ഞുകൊണ്ടു
dravichappozhaanu,ദ്രവിച്ചപ്പോഴാണ്
mitthile,മിത്തിലെ
kkaranad,ക്കരനാട്
ezhuthividunnu,എഴുതിവിടുന്നു
samghiyumaakki,സംഘിയുമാക്കി
kariniyamathodulla,കരിനിയമത്തോടുള്ള
sidiyumokkeyaayi,സിഡിയുമൊക്കെയായി
pushtippeduthenda,പുഷ്ടിപ്പെടുത്തേണ്ട
shushrooshakanumaayi,ശുശ്രൂഷകനുമായി
bhooripakshamundaakki,ഭൂരിപക്ഷമുണ്ടാക്കി
gaveshanangalumaayi,ഗവേഷണങ്ങളുമായി
sweedenode,സ്വീഡനോട്
alipe,അലിപേ
eknaakh,ഏക്നാഖ്
aarogyanayathile,ആരോഗ്യനയത്തിലെ
kroorakarmmangal,ക്രൂരകർമ്മങ്ങൾ
irakkumathikkaaya,ഇറക്കുമതിക്കായ
yuvagayika,യുവഗായിക
adakkamullavaykku,അടക്കമുള്ളവയ്ക്ക്
aavishkaranathinte,ആവിഷ്കരണത്തിന്റെ
aaykkudi,ആയ്ക്കുടി
pravartthimekhalayil,പ്രവർത്തിമേഖലയിൽ
mundaplaakkanum,മുണ്ടപ്ലാക്കനും
athikkunnathinaayu,എത്തിക്കുന്നതിനായ്
vachithikkukayaanu,വച്ചിതിക്കുകയാണ്
eathuvaahanam,ഏതുവാഹനം
malayaalikkadhakal,മലയാളിക്കഥകൾ
nallalathekku,നല്ലളത്തേക്ക്
nalkiyittuna,നൽകിയിട്ടുണ
aadyasamarathinte,ആദ്യസമരത്തിന്റെ
athenikkilla,അതെനിക്കില്ല
vareyaayippokunna,വരെയായിപ്പോകുന്ന
uruttiyidunna,ഉരുട്ടിയിടുന്ന
varnappakittulla,വർണപ്പകിട്ടുള്ള
pravachikkaruthu,പ്രവചിക്കരുത്
dukhaardraraaya,ദുഖാർദ്രരായ
chithraprathibhayaayum,ചിത്രപ്രതിഭയായും
neeraalayude,നീരാളയുടെ
linguswamy,ലിംഗുസ്വാമിയും
oolapaambine,ഓലപാമ്പിനെ
kondapoyi,കൊണ്ടപോയി
shattarbaagukalkk,ഷട്ടർബാഗുകൾക്ക്
vediyuka,വെടിയുക
shikshaavidhiyaalum,ശിക്ഷാവിധിയാലും
chaakkukalilaayaanu,ചാക്കുകളിലായാണ്
dathuputhranundaakum,ദത്തുപുത്രനുണ്ടാകും
marichathaayittu,മരിച്ചതായിട്ടു
muthaledukkaanaayaal,മുതലെടുക്കാനായാൽ
kuzhanjuveenappozhanu,കുഴഞ്ഞുവീണപ്പോഴാണ്
thaanumaayi,താനുമായി
nethaavaayirikkanam,നേതാവായിരിക്കണം
konnirikkaanu,കൊന്നിരിക്കാന്
nirmaanangalilaanu,നിർമാണങ്ങളിലാണ്
kwaarikalilekku,ക്വാറികളിലേക്കു
bionetinte,ബയനറ്റിന്റെ
nirbandhikkaan,നിർബന്ധിക്കാൻ
sthiramaayullathu,സ്ഥിരമായുള്ളതു
sooryanaduthulla,സൂര്യനടുത്തുള്ള
nadeemahotsavam,നദീമഹോത്സവം
marichanne,മരിച്ചന്നെ
pathinaalukaaran,പതിനാലുകാരൻ
balasubramanian,ബാലസുബ്രഹ്മണ്യൻ
adhikshepikkalaakum,അധിക്ഷേപിക്കലാകും
ivarillaatheyum,ഇവരില്ലാതെയും
mantriyaayaal,മന്ത്രിയായാൽ
sahaayikkumethireyaan,സഹായിക്കുമെതിരെയാണ്
sleshmastharathilum,ശ്ലേഷ്മസ്തരത്തിലും
akramikalkkunere,അക്രമികൾക്കുനേരെ
klabinoru,ക്ലബിനൊരു
dathinadippettu,ദത്തിനടിപ്പെട്ടു
mundakkayathinu,മുണ്ടക്കയത്തിനു
tragonometry,ട്രഗണോമെട്രി
girijayenna,ഗിരിജയെന്ന
sthreepakshamundu,സ്ത്രീപക്ഷമുണ്ട്
taskill,ടാസ്കിൽ
prakaashanilekku,പ്രകാശനിലേക്ക്
bhagrihathe,ഭഗൃഹത്തെ
nottinghamshare,നോട്ടിങ്ഹാംഷെയർ
tikkattingilekku,ടിക്കറ്റിങ്ങിലേക്ക്
eeranodeyaanu,ഈറനോടെയാണ്
bhaarathathiloodeyaakum,ഭാരതത്തിലൂടെയാകും
nubandhichaanu,നുബന്ധിച്ചാണ്
saahithyathilaayaalum,സാഹിത്യത്തിലായാലും
bejpuri,ബേജ്പുരി
kannadichirunnu,കണ്ണടിച്ചിരുന്നു
parishudhamaayirikkum,പരിശുദ്ധമായിരിക്കും
vadhuvinteyo,വധുവിന്റേയോ
emminilla,എമ്മിനില്ല
chalikkuzhiyaayi,ചളിക്കുഴിയായി
naamithudangukil,നാമിത്തുടങ്ങുകിൽ
paavakalirangathulla,പാവകളിരംഗത്തുള്ള
aarthiyodu,ആർത്തിയോടു
marikadakkaavunnathalla,മറികടക്കാവുന്നതല്ല
aakaashachaattathil,ആകാശച്ചാട്ടത്തില്
pookkalumkondu,പൂക്കളുംകൊണ്ട്
postamorttatthinu,പോസ്റ്റമോർട്ടത്തിന്
yudhaadisthaanathil,യുദ്ധാടിസ്ഥാനത്തിൽ
aashupathrikkadavinu,ആശുപത്രിക്കടവിന്
thediyethiyirikkum,തേടിയെത്തിയിരിക്കും
koodeyetthiyappol,കൂടെയെത്തിയപ്പോൾ
aanenkillum,ആണെങ്കില്ലും
refress,റിഫ്രസ്
paalinokkunnu,പാളിനോക്കുന്നു
raajyangaleppole,രാജ്യങ്ങളേപ്പോലെ
kammantiloode,കമ്മന്റിലൂടെ
samaanathakalundaayir,സമാനതകളുണ്ടായിര്
naifi,നായിഫി
twentiforinu,ട്വൻറിഫോറിന്
austro,ആസ്ട്രോ
cheythaante,ചെയ്താന്റെ
embrio,എംബ്രിയോ
anunayippichaalu,അനുനയിപ്പിച്ചാല്
vaangunnathumaaya,വാങ്ങുന്നതുമായ
prachodanamaaville,പ്രചോദനമാവില്ലെ
thudarunnathennu,തുടരുന്നതെന്ന്
pathumanichediyil,പത്തുമണിച്ചെടിയിൽ
basilikkayil,ബസിലിക്കയിൽ
pensilinte,പെന്സിലിന്റെ
vimaanadikkattaanu,വിമാനടിക്കറ്റാണ്
jalasambharanipole,ജലസംഭരണിപോലെ
unakkiyeduthu,ഉണക്കിയെടുത്തു
theranjedukkumenna,തെരഞ്ഞെടുക്കുമെന്ന
praveshanafeesumillaathe,പ്രവേശനഫീസുമില്ലാതെ
nilanilpumaayi,നിലനിൽപുമായി
meditationumaanu,മെഡിറ്റേഷനുമാണ്
kudumbamaanengilum,കുടുംബമാണെങ്കിലും
shilppashaalakk,ശിൽപ്പശാലക്ക്
ammayundennathu,അമ്മയുണ്ടെന്നത്
koottuchernnu,കൂട്ടുചേർന്ന്
aanmiyatha,ആന്മിയത
periyaarinethire,പെരിയാറിനെതിരെ
ponthunnille,പൊന്തുന്നില്ലേ
thattiyirikkaveyaanu,തട്ടിയിരിക്കവെയാണ്
nehikkaanallenkil,നേഹിക്കാനല്ലെങ്കിൽ
thallichathakkunna,തല്ലിച്ചതക്കുന്ന
azhimathikkesiladakkam,അഴിമതിക്കേസിലടക്കം
neckband,നെക്ബാൻഡ്
raajyasnehikalumaayi,രാജ്യസ്നേഹികളുമായി
shippmentilekku,ഷിപ്പ്മെന്റിലേക്ക്
slog,സ്ലോഗ്
shakathozhilaalikale,ഷകത്തൊഴിലാളികളെ
mooppanmaaro,മൂപ്പന്മാരോ
vairasinethiraaya,വൈറസിനെതിരായ
photoshoottinum,ഫോട്ടോഷൂട്ടിനും
gaadhakkum,ഗാഥക്കും
rossiyiloode,റോസ്സിയിലൂടെ
yooniyanuvendi,യൂണിയനുവേണ്ടി
thamizhinodu,തമിഴിനോടു
irakkiyillenna,ഇറക്കിയില്ലെന്ന
ayyayenna,അയ്യയെന്ന
nishedikkaanaavum,നിഷേധിക്കാനാവും
vvathayulla,വ്വതയുള്ള
nagnapaadanaayittaanu,നഗ്നപാദനായിട്ടാണ്
evokhinum,ഇവോഖിനും
pravarthanaarjjavam,പ്രവർത്തനാർജ്ജവം
conclusive,കൺക്ലൂസീവ്
nalkiyavarilundu,നൽകിയവരിലുണ്ട്
edapedalinekkurichu,ഇടപെടലിനെക്കുറിച്ചു
kazhinjupokum,കഴിഞ്ഞുപോകും
puratthedukkave,പുറത്തെടുക്കവെ
prosiktarude,പ്രോസിക്റ്ററുടെ
roopayethiyathaayi,രൂപയെത്തിയതായി
thaapavahakaraaya,താപവാഹകരായ
murivukalekkurichu,മുറിവുകളെക്കുറിച്ച്
vivarampurathu,വിവരംപുറത്ത്
viplavasuryanaayi,വിപ്ലവസൂര്യനായി
vechuporuppikkaan,വെച്ചുപൊറുപ്പിക്കാൻ
paaditharatte,പാടിത്തരട്ടെ
biographer,ബയോഗ്രാഫറും
ministediyathinu,മിനിസ്റ്റേഡിയത്തിന്
imeyilaayaanu,ഇമെയിലായാണ്
jayimsinethedi,ജയിംസിനെതേടി
kaliyilekku,കളിയിലേക്ക്
blaidinte,ബ്ലെയ്ഡിന്റെ
drudaprathijnja,ദൃഡപ്രതിജ്ഞ
karuthumbozhulla,കരുതുമ്പോഴുള്ള
karaaradakkamulla,കരാറടക്കമുള്ള
fearantina,ഫിയറന്റീന
jipiyile,ജിപിയിലെ
oonnimaathram,ഊന്നിമാത്രം
athaalochichu,അതാലോചിച്ചു
muttakozhikaleyaanu,മുട്ടക്കോഴികളെയാണ്
anusarichumaathrame,അനുസരിച്ചുമാത്രമേ
savisheshaadhikaarathe,സവിശേഷാധികാരത്തെ
kaaviyuduppittu,കാവിയുടുപ്പിട്ടു
vereyundoyennum,വേറെയുണ്ടോയെന്നും
pokunnayaalaa,പോകുന്നയാളാ
thrissurilninnulla,തൃശൂരിൽനിന്നുള്ള
nauphalinodu,നൌഫലിനോട്
ithillaathaakum,ഇതില്ലാതാകും
sooryaganesham,സൂര്യഗണേശം
nirappullathum,നിരപ്പുള്ളതും
nirdish,നിർദ്ദിഷ്
samavakyavumaayi,സമവാക്യവുമായി
naalonnumpadavil,നാലൊന്നുംപടവിൽ
karakkadiyukayum,കരക്കടിയുകയും
prasavamonnu,പ്രസവമൊന്നു
parannathumaaya,പരന്നതുമായ
mekhalakalilokke,മേഖലകളിലോക്കെ
midjanch,മിഡ്ജാഞ്ച്
padangalaayum,പദങ്ങളായും
thadasappedaathirikkaan,തടസപ്പെടാതിരിക്കാൻ
neekkathilennu,നീക്കത്തിലെന്ന്
shakaarichuvennaanu,ശകാരിച്ചുവെന്നാണ്
paapathinulla,പാപത്തിനുള്ള
santhamaakkiyathu,സന്തമാക്കിയത്
paataantharatthinu,പാഠാന്തരത്തിനു
pankucheraathirikkaan,പങ്കുചേരാതിരിക്കാൻ
badaljiyaanu,ബഡൽജിയാണ്
raajamandirangalilum,രാജമന്ദിരങ്ങളിലും
kathayudeyum,കതയുടെയും
shameela,ഷമീല
aaraadhikkunnatho,ആരാധിക്കുന്നതോ
akathumaayaanu,അകത്തുമായാണ്
radducheyyukayaanu,റദ്ദുചെയ്യുകയാണ്
anyabhashaabhaashanam,അന്യഭാഷാഭാഷണം
