mwnlwnga,मोनलोङा
lagrwnai,लाग्रोनाय
enggarhwiyw,एंगारहैयो
najaobai,नाजावबाय
makonni,माकननि
fwisali,फैसालि
gormariao,गरमारियाव
bahagwsw,बाहागोसो
habagwni,हाबागोनि
gonaijataowi,गनायजाथावै
papu,पापु
danniprainw,दाननिफ्रायनो
porailainainiprainw,फरायलायनायनिफ्रायनो
councillar,काउन्सिलार
gaisonlangnw,गायसनलांनो
kebnaikwo,खेबनायखौ
bodofa,बडफा
hadoraonw,हादरावनो
bwhwi,बोहै
karkwmadwngmwn,खारखोमादोंमोन
fukrifwra,फुख्रिफोरा
subufwrnao,सुबुफोरनाव
lakinangwn,लाखिनांगोन
lubwisulapwrni,लुबैसुलाफोरनि
swlainangbai,सोलायनांबाय
sommotwi,सममतै
marsni,मार्सनि
tisonai,थिसनाय
swlibwgasinw,सोलिबोगासिनो
lupungnaikwo,लुफुंनायखौ
rudrosingni,रुद्रसिंनि
kungirimwn,खुंगिरिमोन
onnaikwo,अन्नायखौ
akwo,आखौ
gwglwinaikwo,गोग्लैनायखौ
nobisa,नबिसा
narkwna,नारखोना
nunaikwo,नुनायखौ
fablisiti,फाब्लिसिथि
fitakwo,फिथाखौ
bandwkwobw,बान्दोखौबो
naigidingwn,नायगिदिंगोन
medvedevabw,मेडभेडेभआबो
mwnpayw,मोनफायो
iswrmane,र्इसोरमाने
armipwrabw,आर्मिफोराबो
jaipwrniprai,जायफोरनिफ्राय
purabi,पुराबि
gobgwn,गबगोन
jangkrithaini,जांख्रिथाइनि
pwsaogiriniprai,फोसावगिरिनिफ्राय
maograpwral,मावग्राफोराल
kampur,कामपुर
tudeao,टुडेआव
swrangao,सोराङाव
kwnaywblabw,खोनायोब्लाबो
engkurkwo,एंखुरखौ
bwkadwng,बोखादों
srirampurniprai,श्रिरामपुरनिफ्राय
adavaniah,आदवानीआ
fwrmaitiao,फोरमायथियाव
akhas,आखास
borjorah,बर्जरआ
afadmwn,आफादमोन
langjwbw,लांजोबो
moharasotro,महारासत्र
multy,माल्टि
jiumani,जिउमानि
bhobon,भबन
danniprai,दाननिफ्राय
komailangnaikwo,खमायलांनायखौ
sibitaini,सिबिथाइनि
jibpwrkwo,जिबफोरखौ
dhekiajulini,ढेकियाजुलिनि
patwarya,पाटवारिआ
danniprai,दान्निफ्राय
swdrwmajwng,सोद्रोमाजों
gaswinwbw,गासैनोबो
gaoharsingnw,गावहारसिंनो
oraisomni,अरायसमनि
brihosiptibarkali,ब्रिहसिपथिबारखालि
bungakwimwn,बुङाखैमोन
sobhajwngbw,सभाजोंबो
chakrabortya,चक्रबर्तीया
parchian,पार्चियान
sukanjuli,सुकानजुलि
hwabalanw,होआबालानो
baohordwngdispur,बाउहरदोंदिशपुर
gedersinwi,गेदेरसिनै
samapwrao,सामाफोराव
habapwrao,हाबाफोराव
fuslainw,फुस्लायनो
derhasarnai,देरहासारनाय
khairne,खायरने
garendnal,गारेन्डनाल
narengi,नारेंगि
jakanghwgwn,जाखांहोगोन
kharnai,खारनाय
komayakwi,खमायाखै
hinjaosapwkwo,हिन्जावसाफोखौ
gaglwbnaya,गाग्लोबनाया
gwswbanw,गोसोबानो
lugwila,लुगैला
siganglwngw,सिगांलोङो
citizensio,सिटिजेनसिव
uttarkushi,उत्तरकुसि
unnikwo,उननिखौ
twnnai,थोननाय
mwiderpwrabw,मैदेरफोराबो
mwnabli,मोनाब्लि
lwkshobha,लोकशभा
dapwtai,दाफोथाय
japunaini,जाफुनायनि
habpwiya,हाबफैया
naigidingpwinw,नायगिदिंफैनो
hadungrapwrni,हादुंग्राफोरनि
dinniprainw,दिन्निफ्रायनो
nwgwd,नोगोद
chitijen,चितिजेन
kamnikwo,खामनिखौ
najaseaobw,नाजासेयावबो
gwbang,गोबां
pedareson,पेदारेसन
hockey,हकी
mohimakwo,महिमाखौ
tajwbnailai,थाजोबनायलाय
bijabniprai,बिजाबनिफ्राय
khantini,खान्थिनि
dergaon,देरगांव
akutaifwrao,आखुथाइफोराव
nironto,निरन्ट
posongjanai,फसंजानाय
banglangnaya,बांलांनाया
baigirini,बायगिरिनि
lwindo,लैन्द
rhouniyafwra,रौनियाफोरा
valenciakwo,भेलेन्सियाखौ
jwngblaow,जोंब्लावो
tisonjaywilai,थिसनजायैलाय
jajanai,जाजानाय
utkaripwrni,उटकारिफोरनि
butarakwi,बुथाराखै
bijibw,बिजिबो
laopani,लावपानि
jongkaidwngmwn,जंखायदोंमोन
hangkraihornai,हांख्रायहरनाय
bilinari,बिलिनारि
gwdanaiswi,गोदानायसै
fwrwngtai,फोरोंथाइ
montrini,मनट्रीनि
rujujayw,रुजुजायो
rajsimalayao,राजसिमालायाव
challengeni,चेलेन्जनि
ammunition,एमुनिसन
khoroni,खरनि
kaoamnw,खावामनो
hukremlangw,हुख्रेमलाङो
choudorykwo,चौदरिखौ
gwrwntini,गोरोन्थिनि
santam,सान्थाम
pobitro,पबिथ्र
jharbariao,झारबारिआव
karjikwo,कार्जिखौ
kalamnanwi,खालामनानै
modelni,मडेलनि
septemberao,सेप्टेमबरआव
swlibwnaya,सोलिबोनाया
swdrwmayao,सोद्रोमायाव
sahil,साहिल
tiliao,थिलिआव
jwogahwnaiyao,जौगाहोनायाव
pamekwo,फामेखौ
sarkwo,सारखौ
placard,प्लेकार्ड
kabuni,खाबुनि
mitisarlai,मिथिसारलाइ
homkabai,हमखाबाय
beramifwrnw,बेरामिफोरनो
despriyo,देसफ्रिय
khaise,खाइसे
morchani,मर्चानि
boardfwra,बर्डफोरा
bungnangwn,बुंनांगोन
holichoron,हलिचरन
mulugswlwngsaliao,मुलुगसोलोंसालियाव
mwnseao,मोनसेआव
wnlwsni,ओनलोसनि
dwidenlangbai,दैदेनलांबाय
habfwiyw,हाबफैयो
jwbsrangbaiblabw,जोबस्रांबायब्लाबो
ufera,उफेरा
deblobmentaa,देब्लबमेन्टआ
bollamguri,बल्लामगुरि
bahaibwdwngmwn,बाहायबोदोंमोन
hagjar,हागजार
jwogahwnai,जौगाहोनाय
maoperakwi,मावफेराखै
birkongjwng,बिरखंजों
gio,गिव
nwjwrbla,नोजोरब्ला
gwglananwi,गोग्लानानै
jwogakangnaikwo,जौगाखांनायखौ
sepaina,सेफायना
nangsigwn,नांसिगोन
salmayw,सालमायो
habdwngblabw,हाबदोंब्लाबो
reportfwrao,रिपर्टफोराव
bordoni,बर्दनि
balwisw,बालैसो
habsonpwidwng,हाबसनफैदों
kaolainanwi,खावलायनानै
dunghaoywi,दुंहावयै
gaglwbhwinaijwng,गाग्लोबहैनायजों
universityniprai,इउनिभारसिटिनिफ्राय
pwjwbsrangw,फोजोबस्रांङो
hagwnna,हागोनना
jaigakwo,जायगाखौ
jothumkwo,जथुमखौ
tingra,थिंग्रा
saprwmbwni,साफ्रोमबोनि
raijwyabw,राज्योआबो
mwnlaywmwn,मोनलायोमोन
saseya,सासेआ
changajan,चांगाजान
dabiyw,दाबियो
hwyalasenw,होयालासेनो
gusung,गुसुं
kristanpwrnw,क्रिस्तानफोरनो
insas,इन्सास
veleuguri,भेलेउगुरि
kalamjabai,खालामजाबाय
derhasarnw,देरहासारनो
derhasarw,देरहासारो
kapala,खाफाला
sungbungpwrnw,सुंबुंफोरनो
bengalni,बेंगालनि
maopungdw,मावफुंदो
najaonanwi,नाजावनानै
turibariao,थुरिबारियाव
gaonikwo,गावनिखौ
politics,पलिटिक्स
buddaniprai,बुद्दानिफ्राय
rangjwng,रांजों
literniprai,लिटारनिफ्राय
isundaya,इसुनदाआ
sanjwofuao,सानजौफुआव
nayaswi,नायासै
labwjanai,लाबोजानाय
swrangjwng,सोरांजों
hojrikaonai,हज्रिखावनाय
mwyaniprainw,मोयानिफ्रायनो
bagan,बागान
gaswibwaonw,गासैबोआवनो
bungderbaow,बुंदेरबावो
fwrmailainaiao,फोरमायलायनायाव
maofungnangwo,मावफुंनांगौ
fiju,फिजु
bengkonari,बेंखनारि
gwglwiphwigwn,गोग्लैफैगोन
kapurkwo,कापुरखौ
egyptniprai,इजिप्तनिफ्राय
kamwbla,खामोब्ला
tusar,तुसार
gwjwn,गोजोन
raijwniprai,रायजोनिफ्राय
hastainaia,हासथायनाया
hwkananwi,होखानानै
biswanath,बिस्वनाथ
digonto,दिगन्त
nujatinaini,नुजाथिनायनि
bhwisali,भैसालि
swlwngsalia,सोलोंसालिआ
debrata,देब्राता
karanah,करणआ
raidar,राइदार
daobaiyaripwrniprai,दावबायारिफोरनिफ्राय
raonubw,रावनुबो
christoper,क्रिस्टपार
braywi,ब्रायै
tabaonaimwnbla,थाबावनायमोनब्ला
rwngotipwrkwo,रोंगथिफोरखौ
esemblipwrao,एसेमब्लिफोराव
lakinaya,लाखिनाया
danainiprai,दानायनिफ्राइ
refarence,रिफारेन्स
mwnnw,मोननो
mitihwdwng,मिथिहोदों
kwifwt,खैफोथ
bwrdo,बोर्द
naoaj,नावाज
magistrade,मेजिस्ट्रेड
kudrisarnaini,खुद्रिसारनायनि
chuklabadhyaya,चुक्लबाध्याआ
simliguri,सिमलिगुरि
kharnaikwo,खारनायखौ
damkangnanwi,दामखांनानै
susrangnangwoni,सुस्रांनांगौनि
takwmana,थाखोमाना
pwiyw,फैयो
joymuti,जयमुथि
policeah,पुलिसा
takaijwng,थाखायजों
tisongwnlai,थिसनगोनलाय
salaiao,सालायाव
porainaipwrkwo,फरायनायफोरखौ
kajanai,खाजानाय
nutai,नुथाइ
naibijirgrafwrkwo,नाइबिजिरग्राफोरखौ
agjufwrkwo,आगजुफोरखौ
jotummaya,जथुम्माया
bisaikotiaobw,बिसायखथियावबो
hitar,हितार
derhahwigwn,देरहाहैगोन
scho,स्क
daubaiyarifwrniprai,दावबायारिफोरनिफ्राय
cardfwrkwo,कार्डफोरखौ
fwsaobilaini,फोसावबिलायनि
aapro,आपरो
schemni,स्कीमनि
fwsabnaigaonw,फोसाबनायगावनो
layalaswi,लायालासै
swmaosarlangwn,सोमावसारलांगोन
baohorna,बावहरना
aogaikw,आवगायखो
mulungswlwngsalini,मुलुंसोलोंसालिनि
swpinnanwi,सोफिन्नानै
bohaba,बहाबा
jwogagasinw,जौगागासिनो
lota,लटा
hasnu,हासनु
dipabosti,दिपाबस्ति
asutas,आसुतस
habtanw,हाबथानो
handic,हेन्डिक
tribunelni,ट्रिबिउनेलनि
bikantipwrni,बिखान्थिफोरनि
bahoraisa,बाहराइसा
fwtainayanw,फोथाइनायानो
swmaosargrafwrabw,सोमावसारग्राफोराबो
kungtaiya,खुंथाइया
bitangkiao,बिथांखियाव
wngkarbwnainiprainw,ओंखारबोनायनिफ्रायनो
sanprwmbwni,सानफ्रोमबोनि
tandwi,थान्दै
baitabilo,बायथाबिल
saglwbsarnai,साग्लोबसारनाय
rear,रियार
khwnasong,खोनासं
gakwgra,गाखोग्रा
halurari,हालुरारि
rajkhoa,राजखवा
kuria,खुरिया
tandwifwra,थान्दैफोरा
birkongniprai,बिरखंनिफ्राय
mwnjwng,मोनजों
janangnw,जानांनो
gwswrhwnayao,गोसोरहोनायाव
sadia,सादिया
nangdi,नांदि
jadwng,जादों
lollijleshar,ललिजलेसार
songdannaikwo,संदान्नायखौ
eisenw,ऐसेनो
sajaya,साजाया
mulampa,मुलाम्पा
sarkarni,सोरखारनि
gwoahatini,गौवाहाटिनि
sandungao,सानदुंआव
gabonnw,गाबननो
hwlangnanwi,होलांनानै
salaigiripwra,सालायगिरिफोरा
hakwo,हाखौ
bangladeshabw,बांलादेशआबो
swpaderdw,सोफादेरदो
sraywi,स्रायै
kwklwigwn,खोख्लैगोन
bilaipwrpw,बिलायफोरफो
okutaini,अखुथायनि
afadol,आफादल
fwtwina,फोथैना
tamulfur,थामुलफुर
bpfni,बिपिएफनि
tangwomwn,थांगौमोन
subai,सुबाय
sanggomani,सांगमानि
tarminelkwo,टार्मिनेलखौ
dasandiao,दासान्दियाव
matiu,माथिउ
pwnangiripwra,फोनांगिरिफोरा
unionni,इउनियननि
parchel,पार्चेल
sohwinaikwo,सहैनायखौ
nwngserni,नोंसेरनि
jabsinnainiprai,जाबसिन्नायनिफ्राय
dukua,दुखुआ
laframjwbw,लाफ्रामजोबो
nationalist,नेशनेलिस्ट
kebjwng,खेबजों
ringsarnifrai,रिंसारनिफ्राय
saogaria,सावगारिया
banaigra,बानायग्रा
mulugswlwngsalikwo,मुलुगसोलोंसालिखौ
bijwokwo,बिजौखौ
raijwpwrkwobw,राज्योफोरखौबो
tunanwi,थुनानै
dintihwinaijwng,दिन्थिहैनायजों
bungderbadwngdi,बुंदेरबादोंदि
sestemao,सेस्टेमाव
lagayao,लागायाव
naibijipinanwi,नायबिजिफिनानै
swlwngsalimapwrni,सोलोंसालिमाफोरनि
bithangkhinifrai,बिथांखिनिफ्राय
uglinai,उग्लिनाय
eun,इउन
jataih,जाथायः
fatasil,फाथासिल
konnai,खननाय
fwjaohornai,फोजावहरनाय
bidhapurni,बिद्यापुरनि
onsaigiripwrni,अन्सायगिरिफोरनि
muzaffarnagar,मुजफफरनगर
atikalsim,आथिकालसिम
hwhornaiao,होहरनायाव
damani,दामानि
sekureti,सेकुरेटि
bilaibw,बिलाइबो
hinjaosajwng,हिन्जावसाजों
pestalwtiopsis,पेस्तालोटिअपसिस
rashidul,रसिदुल
dani,दानि
subungari,सुबुंआरि
sadikni,सादिकनि
derhanai,देरहानाय
dehapamsalipwrao,देहाफामसालिफोराव
dintikhangnaini,दिन्थिखांनायनि
manesh,मनेश्
garhornaipwrni,गारहरनायफोरनि
dwrnanwi,दोरनानै
jwogakangbwnanwi,जौगाखांबोनानै
jaipwra,जाइफोरा
gwma,गोमा
aogailangnaini,आवगायलांनायनि
parinong,फारिनं
sestemni,सेस्टेमनि
dhaukhlaidwngmwn,दावख्लायदोंमोन
bipapwra,बिफाफोरा
maniywini,मानियैनि
dwlwpwrni,दोलोफोरनि
kelimwn,केलिमोन
jotumaobw,जथुमावबो
bigraikangnaikwonw,बिग्रायखांनायखौनो
jwogakanghwgrapwr,जौगाखांहोग्राफोर
jatargwn,जाथारगोन
fwrwngnaiya,फोरोंनाया
bahaitiyari,बाहायथियारि
kotaniprai,खथानिफ्राय
gotaigwnguwahati,गथायगोनगुवाहाटी
bekheodwngmwn,बेखेवदोंमोन
nagirnaiao,नागिरनायाव
apartment,एपार्टमेन्ट
montriniprai,मनट्रिनिफ्राय
talangw,थालाङो
kangnaini,खांनायनि
datasetkwo,डाटासेटखौ
mungkwobw,मुंखौबो
abadarini,आबादारिनि
aroi,आरय
gwmadwng,गोमादों
wngkarnangsigwn,ओंखारनांसिगोन
kamni,खामनि
jisukwo,जिसुखौ
carcanafwra,कारकानाफोरा
dainigirikwobw,दायनिगिरिखौबो
daolabari,दावलाबारि
bibungsardwngdi,बिबुंसारदोंदि
phwsraogiripwra,फोस्रावगिरिफोरा
jabwnangbai,जाबोनांबाय
udyagpwrniprai,उद्यगफोरनिफ्राय
maokulipwrjwng,मावखुलिफोरजों
gaonw,गावनो
singaonw,सिङावनो
kunggasinw,खुंगासिनो
gariyaonw,गारियावनो
ebrwihwijwbdwng,एब्रैहैजोबदों
maopungnangwn,मावफुंनांगोन
bijirgiria,बिजिरगिरिआ
tangdwngblabw,थादोंब्लाबो
gaonaiyao,गावनायाव
gwjwntao,गोजोन्थाव
ajaow,आजावो
berama,बेरामा
thunlaiblabw,थुनलाइब्लाबो
asp,एएसपि
didwmti,दिदोमथि
maopungnanwi,मावफुंनानै
josep,जसेप
aidafari,आयदाफारि
kalamnaiao,खालामनायाव
nangkangnw,नांखांनो
begorkwo,बेगरखौ
dikangjaywblabw,दिखांजायोब्लाबो
engpolao,इंपलाव
dongmwnbla,दंमोनब्ला
subidani,सुबिदानि
songkordevni,संखरदेबनि
jenere,जेनेरे
kolaka,कलाका
bengalorni,बेंगालरनि
ballingni,बलिंनि
ataonaini,आथावनायनि
dwnjanaya,दोनजानाया
sinaimwnwi,सिनायमोनै
bokoyw,बखयो
naibijirgasine,नायबिजिरगासिने
kharkhwmalangnanwi,खारखोमालांनानै
lariywi,लारियै
pobnai,फबनाय
englandaonw,इंलेण्डआवनो
bsf,बिएसएफ
subungtandwi,सुबुंथान्दै
dordomundo,दर्दमुन्द
islamabad,इस्लामाबाद
rajkuwa,राजखुवा
bisitai,बिसिथाय
bikaya,बिखाया
sibsagorniprai,सिबसागरनिफ्राय
ahoi,आहय
bhugigasinw,भुगिगासिनो
lamating,लामाथिं
hangkraihornw,हांख्रायहरनो
sojabdernanwi,सजाबदेरनानै
ciil,सीआइआइएल
kasibariao,कासिबारियाव
rwbwtbw,रोबोटबो
jogaigasinw,जगायगासिनो
parompar,पारमपार
dwitanai,दैथानाय
galangdwng,गालांदों
gejerari,गेजेरारि
agen,अगेन
farfrwmbw,फारफ्रोमबो
laidwngmwnlabw,लायदोंमोनब्लाबो
koirabari,कयराबारि
fungao,फुङाव
parilaipwra,फारिलाइफोरा
bondokwobw,बन्दखौबो
baolangnw,बावलांनो
dwngraniprai,दोनग्रानिफ्राय
mars,मार्स
dangabaji,दाङाबाजि
poraisalipwrao,फरायसालिफोराव
daobainw,दावबायनो
songmetai,संमेथाइ
chaibar,चाइबार
mrinalini,म्रिनालिनि
sansrinai,सान्स्रिनाय
papolisyon,पापलिस्यन
dufang,दुफां
dubli,दुब्लि
genji,गेनजि
mitiya,मिथिया
mwnnwi,मोननै
kafal,खाफाल
swlainaikwo,सोलाइनायखौ
wngkargwn,ओंखारगोन
hamjaywi,हामजायै
nanglaina,नांलायना
soptaseao,सप्तासेयाव
jaywla,जायोला
srof,स्रफ
fuarnw,फुवारनो
horkabaimwn,हरखाबायमोन
gitaona,गिथावना
apganistanao,आपगानिस्तानाव
engpol,इंपल
hadotfwrao,हादतफोराव
dwnpwinw,दोनफैनो
siginwsw,सिगिनोसो
gongbrwi,गंब्रै
dhwrwmjwngswmwn,धोरोमजोंसोमोन
nongikwo,नङिखौ
habani,हाबानि
gwmkanghwnai,गोमखांहोनाय
swnglukwo,सोंलुखौ
bransni,ब्रानसनि
mumbayao,मुम्बायाव
nilaiba,निलाइबा
hwnaijagwn,होनायजागोन
omisa,अमिसा
aharor,आहारर
bendwngao,बेनदोंआव
barakwo,बाराखौ
hugarhwnaini,हुगारहोनायनि
nijwra,निजोरा
bobde,बब्दे
jwsonhornw,जोसनहरनो
bigurni,बिगुरनि
ganjapwrkwo,गान्जाफोरखौ
nujananwi,नुजानानै
phemplayao,फेमफ्लायाव
labwpinnaiao,लाबोफिन्नायाव
naihwigwn,नायहैगोन
bekeow,बेखेवो
hadwras,हादोरास
junarsalini,जुनारसालिनि
bidungabw,बिदुंआबो
pustayu,पुष्टायु
jaini,जाइनि
bungbadwng,बुंबादों
huraira,हुरायरा
dogomkayao,दगमकायाव
hastaigwn,हास्थायगोन
nwngtangmwnao,नोंथांमोनाव
gongseao,गंसेआव
hagramaya,हाग्रामाया
aabadni,आबादनि
folimari,फलिमारि
raopwrnipraibw,रावफोरनिफ्रायबो
spajdarmona,स्पेजदारमोना
fanivusan,फानिभुसान
fwogwo,फौगौ
kungjabai,खुंजाबाय
hwbtagrapwra,होबथाग्राफोरा
berekao,बेरेकआव
sobung,सबुं
kutaini,खुथायनि
rangkantiao,रांखान्थिआव
thanga,थाङा
dagwnrashi,दागोनराचि
parel,पारेल
tambwswrni,थामबोसोरनि
swdangsalini,सोदांसालिनि
jolopaiguri,जलपायगुरि
kelasim,खेलासिम
faukhungur,फाउखुंगुर
jobonline,जबअनलाइन
nagarnw,नागारनो
epidepini,एफिदेफिनि
fariyanw,फारियानो
dwili,दैलि
swleni,सोलेनि
boliud,बलिउद
subungao,सुबुङाव
mwnhwiyaswi,मोनहैयासै
rwngwotiniprai,रोंगौथिनिफ्राय
hadwrgiri,हादोरगिरि
bekwi,बेखै
mijingbai,मिजिंबाय
vocational,भकेशनेल
premium,प्रिमियाम
beramifwrkwo,बेरामिफोरखौ
bagdatiskwo,बागदातिसखौ
jugen,जुगेन
rangpwrao,रांफोराव
chahaya,चाहाया
tabaonangwo,थाबावनांगौ
binoi,बिनय
rakati,राखाथि
projekpwra,प्रजेकफोरा
semistarao,सेमिस्ताराव
chiyarmena,चियारमेना
mwjangmwngiri,मोजांमोनगिरि
gwglwibai,गोग्लैबाय
modonlahariah,मदनलाहारीआ
prom,प्रम
kwilani,खैलानि
mibti,मिबथि
serkarkwo,सेरखारखौ
nogamya,नगाम्या
haosi,हाउसि
saotrolainw,सान्थ्रलायनो
rajkantigirini,राजखान्थिगिरिनि
jahwdwngonline,जाहोदोंअनलाइन
ailafwrkwobw,आइलाफोरखौबो
kolita,खलिथा
satbindw,सातबिन्दो
baiplongnaini,बाइफ्लंनायनि
nwswi,नोसै
swlwngsalifwrkwo,सोलोंसालिफोरखौ
mwntihwakwi,मोन्थिहोआखै
bilaini,बिलायनि
mwjangwi,मोजांयै
uddin,उद्दिन
lakra,लाख्रा
setukwo,सेटुखौ
laonw,लावनो
digitalni,डिजीटेलनि
dorkongah,दरखंआ
aidafwra,आयदाफोरा
aati,आटि
ghasiya,घासिया
vipi,भिपि
musrikwo,मुस्रिखौ
nscn,एनएससिएन
nangjlainaya,नांज्लायनाया
subungpwrnw,सुबुंफोरनो
karlangnw,खारलांनो
lakwmadwngmwn,लाखोमादोंमोन
karjwblangw,खारजोबलाङो
tanaipwrniao,थानायफोरनियाव
rwghanaiyabw,रोगानायाबो
sohwihwnai,सहैहोनाय
sakriaolapwrni,साक्रिआवलाफोरनि
sifainanwi,सिफानानै
barhungkaya,बारहुंखाया
gwnatikwo,गोनाथिखौ
sinaitiya,सिनायथिया
lirbaodwngmwndi,लिरबावदोंमोनदि
jutaphwr,जुटाफोर
hadis,हादिस
daobaihwinanwi,दावबायहैनानै
lwithwni,लैथोनि
poraisapwrabw,फरायसाफोराबो
bundlend,बुन्दलेन्द
grepter,ग्रेप्टार
addhar,आद्धार
tontroblai,थनथ्रबलाय
dansrangnaijwng,दानस्रांनायजों
sindua,सिन्दुआ
gibos,गिबस
ladungsi,लादुंसि
bangbaonw,बांबावनो
mododgirijwng,मददगिरिजों
maopunai,मावफुनाय
taywinikurwi,थायैनिखुरै
subhungmutni,सुबुंमुतनि
kumi,कुमि
adari,आदारि
hekarpwra,हेखारफोरा
kolni,कलनि
recruatementni,रिक्रुयेटमेन्टनि
katimol,कातिमल
aabhaoyakwo,आबहावाखौ
jengwnayao,जेंगोनायाव
berfru,बेरफ्रु
raopwr,रावफोर
barnaifwrkwo,बारनायफोरखौ
pwtaibwdwngla,फोथाइबोदोंला
academyniprai,एकाडेमीनिफ्राय
sanjib,सानजिब
binao,बिनाव
internetni,इन्टारनेटनि
negetiv,नेगेतिभ
kamjwbw,खामजोबो
caderkwo,केडारखौ
dihungasinw,दिहुनगासिनो
tirangtapwrkwo,थिरांथाफोरखौ
tagiripwrkwo,थागिरिफोरखौ
sudrainanwi,सुद्रायनानै
krowesiya,क्रवेसिया
horgasinw,हरगासिनो
bwkangdwng,बोखांदों
udkaribada,उदखारिबादा
befwrbadi,बेफोरबादि
pwrmaidwngblabw,फोरमायदोंब्लाबो
saorainayao,सावरायनायाव
germanini,जार्मानिनि
nutaya,नुथाया
gwnangtiywi,गोनांथियै
palangiripwra,फालांगिरिफोरा
kaliniprai,खालिनिफ्राय
subbaya,सुब्बाया
commandoah,कामाण्डुआ
golakwo,गलाखौ
gogoiya,गगैया
chinas,चिनस
kuorpur,कुवरपुर
dibyajyati,दिब्यज्यति
mangwn,मानगोन
naywblanw,नायोब्लानो
gortang,गरथां
naigrapwrni,नायग्राफोरनि
morpin,मरफिन
bengkwo,बेंखौ
takuria,थाखुरिया
pumpfwra,पाम्पफोरा
janangdwngmwn,जानांदोंमोन
shrimanta,स्रिमन्ट
postosim,पस्तसिम
twole,थौले
mwnnaiya,मोन्नाया
kamainaya,खामायनाया
jaunaonw,जाउनावनो
adhani,आधानि
saoglungnai,सावग्लुंनाय
lapinhwnw,लाफिनहोनो
gwjwnnangwn,गोजोन्नांगोन
mwihurariya,मैहुरारिआ
abhaoakwo,आबहावाखौ
mwntayao,मोन्थायाव
sangrangtianw,सांग्रांथियानो
projectni,प्रजेक्टनि
songotonjwng,संगथनजों
jorkoywi,जरखयै
hogarhorw,हगारहरो
owebsite,अवेबसाइट
sanbrwini,सानब्रैनि
monipol,मनिपल
lapaiyw,लाफायो
ladwngmwnw,लादोंमोनो
bahaijayalasinw,बाहायजायालासिनो
mitigwn,मिथिगोन
nokorfwrni,नखरफोरनि
maopunglangdwngmwn,मावफुंलांदोंमोन
sprinter,स्प्रिनटार
jonogostiyo,जनगस्तिय
agwlni,आगोलनि
meruao,मेरूयाव
ariden,आरिदेन
dintipungw,दिन्थिफुङो
mungparitisonnai,मुंफारिथिसननाय
companypwrkwo,कम्पानिफोरखौ
rannagor,राननागर
phwinwngswr,फैनोंसोर
gonaibai,गनायबाय
aidaya,आयदाया
akhujwng,आखुजों
rikshani,रिक्सानि
baraigwn,बारायगोन
jujidwngblabw,जुजिदोंब्लाबो
sakwni,साखोनि
bhusan,भुसन
bigwmaya,बिगोमाया
pahamgirigpwrnw,फाहामगिरिगफोरनो
janangdwng,जानांदों
nurul,नुरुल
gwligwn,गोलिगोन
jakwmadwng,जाखोमादों
bisaikotipwraobw,बिसायखथिफोरावबो
gwngbang,गोंबां
siladityal,सिलादित्यल
jagirdao,जागिरदआव
sungtadwng,सुंथादों
bitwngiri,बिथोनगिरि
kugajwnglo,खुगाजोंल
habradhat,हाब्राधाट
hiteshwar,हितेस्वर
jirainainiprai,जिरायनायनिफ्राय
nwngtaa,नोंथाआ
rwganw,रोगानो
madaonw,मादावनो
kwnasongbwakwi,खोनासंबोआखै
afaya,आफाया
gogarlangnaini,गगारलांनायनि
bosabil,बसाबिल
labwpanw,लाबोफानो
bwklaihornw,बोख्लायहरनो
mwbtinai,मोबथिनाय
beramipwrni,बेरामीफोरनि
farce,फार्स
baiklanai,बायख्लानाय
bipanpwrjwng,बिफानफोरजों
makasw,माखासो
baruaa,बरुवाआ
janangwokwo,जानांगौखौ
santhrijwng,सानथ्रिजों
ogaywibw,अगायैबो
bhairaskwo,भाइरासखौ
bhumki,भुमकि
bisnwy,बिस्नोय
mulug,मुलुग
fwrwngjanaini,फोरोंजानायनि
sandrini,सान्द्रिनि
maokoari,मावखवारि
bwrainanwi,बोरायनानै
lachiram,लछिराम
calenderao,केलेन्डाराव
sublal,सुबलाल
japwidwngmwnbla,जाफैदोंमोनब्ला
silborihwnnai,सिलबरिहोन्नाय
mwsanaifwrkwo,मोसानायफोरखौ
danpainanwi,दानफायनानै
berkanghwnaikwo,बेरखांहोनायखौ
korpwrkwo,खरफोरखौ
anuragkwo,अनुरागखौ
gabgiriya,गाबगिरिया
dwikangnailai,दैखांनायलाय
gwmanaikwo,गोमानायखौ
septembniprainw,सेप्तेम्बनिफ्रायनो
ninisa,निनिसा
chinw,चिनो
sansriabw,सानस्रियाबो
rongjulini,रंजुलिनि
kabtanw,खाबथानो
dhirenjyoty,धिरेनज्यति
daniprainw,दानिफ्रायनो
pusen,पुसेन
swmjinw,सोमजिनो
grendoslam,ग्रेन्दस्लाम
rwkwmkwo,रोखोमखौ
derhadwngmwnblabw,देरहादोंमोनब्लाबो
nagrijuliao,नाग्रिजुलिआव
sanwini,सानैनि
gaisongpinnw,गायसंफिन्नो
mwnbaimwn,मोनबायमोन
albert,एलबार्ट
mokase,मखासे
debwrgaon,देबोरगाव
parsonel,पार्सनेल
mohiram,महिराम
farilaiya,फारिलाइआ
swngkarinaijwng,सोंखारिनायजों
jwose,जौसे
nukadwng,नुखादों
haopwidwngmwn,हावफैदोंमोन
jwogayakwi,जौगायाखै
logaiplananwi,लगायफ्लानानै
