swaasthmay,સ્વાસ્થમય
mananarani,માનનારાની
palikadhyaksh,પાલિકાધ્યક્ષ
vividhnaa,વિવિધના
sevaomate,સેવાઓમાટે
basenge,બસેંગે
manvina,માનવીનાં
vaachsho,વાચશો
wholii,હોળી
nyochhavar,ન્યોછાવાર
umdaaudaaran,ઉમદાઉદારણ
kelgarinaa,કેલગરીના
nondscape,નોન્ડસ્કેપ
kakoshima,કાકોશીમાં
maharudrayag,મહારુદ્રયાગ
cier,સીઆઈઈઆર
tajimano,તાજિમાનો
kumaramangalam,કુમારમંગલમ્
chikuno,ચીકુનો
nasheebdaarne,નશીબદારને
pocho,પોચો
donabas,ડોનાબાસ
overbooking,ઓવરબુકિંગ
bushrangers,બુશરેંજર્સ
umervee,ઉમેરવી
futoro,ફ્યુટોરો
aikya,ઐક્ય
haanla,હાંલા
bhaudaji,ભાઉદાજી
sharamaavu,શરમાવુ
didhelthi,દીધેલથી
mptc,એમપીટીસી
shaitaniyatni,શૈતાનિયતની
workstationma,વર્કસ્ટેશનમાં
aavtoon,આવતું
weating,વીટિંગ
swaajanull,સ્વાજનોને
temh,તેમ્હ
purrakshan,પુરરક્ષણ
mahatvavni,મહત્વવની
mandeley,મેન્ડેલી
aetiveene,એટીવીને
badlaataane,બદલાતાને
aggrovate,અગ્રોવેટ
karykshetro,કાર્યક્ષેત્રો
farukbhaine,ફારુકભાઇને
kangrano,કાંગરાનો
ndds,એનડીડીએસ
maanekno,માણેકનો
dhvajaapujan,ધ્વજાપુજન
jarakne,જરકને
shelone,શેલોને
pedhaao,પેઢાઓ
tulikne,તુલિકને
vilisane,વિલિસને
pukhtavasthane,પુખ્તાવસ્થાને
aashishnu,આશિષનું
dhuval,ધુવલ
lightburn,લાઇટબર્ન
phektaro,ફેક્ટરો
chunotiono,ચૂનોતીઓનો
mahakranti,મહાક્રાન્તિ
shoshatu,શોષતું
complimentary,કોમ્પ્લિમેંટ્રી
mudholkar,મુધોલકર
hafiznun,હાફિઝનું
padaayelaa,પડાયેલાં
kurhan,કુરહાન
chuksamay,ચૂકસમય
gurur,ગુરૂર
picturesmathi,પિક્ચર્સમાંથી
bhucharmorinaa,ભૂચરમોરીના
multiworknu,મલ્ટિવર્કનું
fortune,ફોર્ચ્યુનનો
prasenjite,પ્રસેનજિતે
suuphi,સૂફી
hemrajbhaini,હેમરાજભાઈની
chhaggaothi,છગ્ગાઓથી
khullyo,ખુલ્લ્યો
hohenzolern,હોહેન્ઝોલેર્ન
jewellere,જ્વેલરે
bhakhelu,ભાખેલું
balasubramanyamna,બાલાસુબ્રમણ્યમના
vagereoae,વગેરેઓએ
chesna,ચેસના
gunderson,ગુન્ડરસન
upyogne,ઉપયોગને
vibhaparna,વિભાપરના
ibenu,ઈબેનું
sambona,સામ્બોના
stheetee,સ્થિતિ
hemendrakumar,હેમેન્દ્રકુમાર
dulbhai,દુલભાઇ
gabrius,ગેબ્રિયસ
shakthee,શકથી
medanta,મેદાન્ત
laxie,લેક્સી
kirkpetrick,કિર્કપેટ્રિક
vaango,વાંગો
dholiyav,ધોળિયાવ
vagadjo,વગાડજો
shafakne,શફાકને
transintion,ટ્રાન્ઝિન્શન
abhisaranne,અભિસરણને
dhumarvi,ધુમારવી
charityma,ચેરિટીમાં
namjoshi,નામજોશી
chholikabharan,છોલિકાભરણ
jogvadna,જોગવાડના
freemasons,ફ્રીમેસન્સ
hirpura,હિરપુરા
ketheno,કેથેનો
pixelno,પિક્સેલનો
paperbakema,પેપરબેકમાં
taruninu,તરૂણીનું
avosetnee,એવોસેટની
synephan,સિનેફન
shambhujiravne,શંભુજીરાવને
suvoya,સુવોયા
praachurya,પ્રાચુર્ય
jolachhaap,જોલાછાપ
greenworks,ગ્રીનવર્કસ
jahanviben,જહાનવીબેન
balramna,બલરામના
censorics,સેન્સરિક્સ
samvarghan,સંવર્ઘન
migrated,માઈગ્રેટેડ
ageeyarna,અગિયારના
kalpakkam,કલપક્કમ
nudhatar,નુધાતર
mechanicsna,મિકેનિક્સના
beaubo,બ્યુબો
kaushalyane,કૌશલ્યને
rogneevarakna,રોગનિવારકના
khelaayel,ખેલાયેલ
lakshmishankar,લક્ષ્મીશંકર
saathidaarni,સાથીદારની
kasveer,કસવીર
setrik,સેટ્રિક
motaaono,મોટાઓનો
saachavava,સાચવવા
masfin,માસ્ફિન
bahumaalini,બહુમાળીની
madhvacharye,માધવાચાર્યે
shufflenu,શફલનું
hutanshe,હુતાંશે
apraadhinee,અપરાધીની
margox,માર્ગોક્સ
dilodimang,દિલોદિમાંગ
shabistan,શબિસ્તાન
koyanaay,કોયનાય
kalyanbagh,કલ્યાણબાગ
gabadvama,ગબડવામાં
menunaa,મેણુના
phenoberbitale,ફેનોબર્બિટલે
imim,આઈએમઆઈએમ
singro,સિંગરો
alakhnath,અલખનાથ
nathnath,નાથનાથ
baataanu,બાટાનું
vahivatkartaaonaa,વહિવટકર્તાઓના
muskoginu,મુસ્કોગીનું
grrrr,ગ્રે્રર
ghatakovaalaa,ઘટકોવાળા
dudhbandhi,દૂધબંધી
durghatanaaone,દૂર્ઘટનાઓને
mayurino,મયુરીનો
blassius,બ્લાસિયસ
nuksanak,નુકસાનક
lambrequins,લેમ્બ્રેક્વિન્સ
nemra,નેમરા
streotions,સ્ટ્રિઓશન્સ
rovdaavaanu,રોવડાવાનું
bagaadao,બગાડાઓ
denik,દેનિક
shalihotrane,શાલિહોત્રને
jaffrabad,જાફ્રાબાદ
networqig,નેટવર્કિગ
pmothi,પીએમઓથી
energing,એનર્જીંગ
kartaat,કરતાત
chamka,ચમકા
multispecialty,મલ્ટિસ્પેશિયાલ્ટી
vishrant,વિશ્રાંત
initiate,ઇનિશિએટ
vidhyasabhano,વિદ્યાસભાનો
lagnajeevannaa,લગ્નજીવનનાં
kaloneema,કલોનીમાં
godadhaanu,ગોડધાનું
adanapradan,આદાનપ્રદાન
helthvibhaagnaa,હેલ્થવિભાગના
vespuchi,વેસપુચી
gunjaben,ગુંજાબેન
hakdaaronaa,હકદારોના
gruhakhaataani,ગૃહખાતાની
atakvaya,અટકવાયા
listeriosisna,લિસ્ટરિયોસિસના
sonanoa,સોનાનોઆ
mascade,માસ્કેડ
there,ત્યાર
romaanini,રોમાનીની
saidpurama,સૈદપુરામાં
vaahanmaani,વાહનમાંની
dodhdahya,દોઢદાહ્યા
divyaraje,દિવ્યરાજે
leemno,લીમનો
tubewello,ટયુબવેલો
daakot,ડાકોટ
bhogavavum,ભોગવવું
varshno,વર્ષનો
whiteflyno,વ્હાઈટફ્લાયનો
kamkridano,કામક્રિડાનો
satsaamgreeo,સત્સામગ્રીઓ
utaavalaapanu,ઉતાવળાપણું
iclude,આઇક્લુડ
mutationma,મ્યુટેશનમાં
dhirav,ધીરવ
shilpavala,શિલ્પવાળા
aangalimana,આંગળીમાંના
proactively,પ્રોએક્ટીવલી
parivaahako,પરિવાહકો
segmentmathi,સેગમેન્ટમાંથી
nibhaaogi,નિભાઓગી
congresna,કોગ્રેસના
manosamajik,મનોસામાજિક
carlova,કાર્લોવા
gruhanine,ગૃહણીને
sarvaaro,સારવારો
drashyamne,દ્રશ્યમને
satyendrakumarne,સત્યેન્દ્રકુમારને
tibar,તિબાર
jashni,જશની
columbine,કોલમ્બાઈન
chookyo,ચૂક્યો
sabyasachinu,સબ્યસાચીનું
chikankarithi,ચિકનકારીથી
keokuk,કેઓકુક
khaselo,ખસેલો
mamtadidi,મમતાદીદી
pothiyatrana,પોથીયાત્રાના
mahidpurma,મહિદપુરમાં
bhaavio,ભાવિઓ
kideenee,કીડીની
jorvaalu,જોરવાળું
manjakotma,મંજાકોટમાં
nominee,નોમીની
raakhata,રાખતા
chikhalipada,ચીખલીપાડા
microbiota,માઈક્રોબોયોટા
firdausni,ફિરદૌસની
panthomathi,પંથોમાંથી
woodhole,વૂડહોલ
aimsne,એઇમ્સને
garimapurn,ગરિમાપૂર્ણ
expense,એક્સપેન્સ
duniyabharmathi,દુનિયાભરમાંથી
stagel,સ્ટેજલ
chhedchhaadnu,છેડછાડનું
meharjee,મેહરજી
myokosisa,મ્યોકોસિસ
oberegro,ઓબેરેગ્રો
pinkno,પીંકનો
bhetnaraoni,ભેટનારાઓની
onterio,ઓન્ટેરીઓ
mazhabini,મઝહબીની
pravaahionu,પ્રવાહીઓનું
shashathi,શાશાથી
cactinu,કેક્ટીનું
trustfund,ટ્રસ્ટફંડ
literginal,લિટરજિનલ
passes,પાસેસ
bhajpabhakt,ભાજપભક્ત
meditration,મેડિટ્રેશન
emoticons,ઇમોટિકોન્સ
afsarni,અફસરની
ratulpuri,રતુલપુરી
bajaareeo,બજારીઓ
blackoutno,બ્લેકઆઉટનો
rayonge,રયોંગે
aamravrukshona,આમ્રવૃક્ષોના
pradhaanmantriaenaa,પ્રધાનમંત્રીએના
kipple,કિપલ
swanarbhar,સ્વનર્ભર
bluestong,બ્લુસ્ટોંગ
paayana,પાયાના
jivanmantro,જીવનમંત્રો
soochitarthno,સૂચિતાર્થનો
jaanona,જાણોના
ganeshwadi,ગણેશવાડી
barelithee,બરેલીથી
dukkare,ડુક્કરે
kantibhaine,કાંતિભાઈને
mungdh,મુંગ્ધ
khanijkaran,ખનીજકરણ
kaaraarno,કારારનો
vruksharaji,વૃક્ષરાજી
eleene,એલીને
brushwork,બ્રશવર્ક
sauveer,સૌવીર
fariyadkartaono,ફરિયાદકર્તાઓનો
arisho,અરીશો
ochitu,ઓચીતું
vadeshiya,વદેશિયા
chhedala,છેડલા
dudalal,દુદાલાલ
sudhabenni,સુધાબેનની
punarujjivan,પુનરુજ્જીવન
khenchelu,ખેંચેલું
pharmacistne,ફાર્મસિસ્ટને
antidirehal,એન્ટીડિરેહલ
neopagan,નિયોપાગાન
mukhyabhumina,મુખ્યભૂમિના
sukhsuvidhama,સુખસુવિધામાં
grun,ગ્રન
urv,ઉર્વ
aechkejeema,એચકેજીમાં
randonni,રેન્ડનની
multitasking,મલ્ટીટાસ્કીંગ
wichaaraay,વિચારાય
namethi,નામેથી
karnatkarma,કર્ણાટકરમાં
privatorsne,પ્રાઇવેટર્સને
immunityna,ઇમ્યુનિટીના
majurini,મજૂરીની
proteensnee,પ્રોટિન્સની
bluehole,બ્લુહોલ
ispal,ઇસ્પાલ
tabum,ટેબમ
vinodsabhar,વિનોદસભર
sanrakshanmantrioae,સંરક્ષણમંત્રીઓએ
nijmandirethi,નિજમંદિરેથી
coining,કોઇનિંગ
sugnasahityakaro,સુજ્ઞસાહિત્યકારો
rasruchini,રસરુચિની
capsh,કેપ્શ
pspbni,પીએસપીબીની
joshipura,જોશીપુરાએ
hachavta,હચાવતા
hatheenun,હાથીનું
kamishnarmaa,કમિશ્નરમાં
voluman,વોલ્યુમેન
chorwadi,ચોરવાડી
sudharakyugni,સુધારકયુગની
mogiae,મોગીએ
jirnshirnta,જીર્ણશીર્ણતા
chakramma,ચક્રમમાં
katargadh,કતારગઢ
bindune,બિંદુને
sandings,સેન્ડિંગ્સ
dealings,ડીલિંગ્સ
chhindao,છીંડાઓ
sugmyane,સુગ્મ્યાને
karyalaythi,કાર્યાલયથી
snochia,સ્નોચિયાએ
notabandhano,નોટબંધનો
prong,પ્રોંગ
udaartaay,ઉદારતાય
kyanaitanaa,ક્યાનાઈટના
magufuli,માગુફૂલી
artistsne,આર્ટિસ્ટસને
ahevaano,અહેવાનો
dekhavvathi,દેખાવવાથી
desmodromic,ડેસ્મોડ્રોમિક
chaaroni,ચારોની
snation,સ્નેશન
evc,ઇવીસી
rahkeeme,રાહકીમે
timberne,ટિમ્બરને
albune,આલ્બ્યુન
blaize,બ્લેઈઝ
kaleero,કલીરો
oganej,ઓગણેજ
octobermaan,ઓક્ટોબરમાં
wirell,વાયરેલ
kholvama,ખોલવામાં
sunroofna,સનરૂફના
khatareme,ખતરેમેં
viveksagardasjina,વિવેકસાગરદાસજીના
santiyagoni,સાન્તિયાગોની
briefcase,બ્રિફકેસ
anyayipoorvak,અન્યાયીપૂર્વક
reporte,રિપોર્ટે
mundaataa,મૂંડાતા
sapiosexual,સેપિયોસેક્સ્યુઅલ
asanka,અસાન્કા
brahmakundni,બ્રહ્મકુંડની
baljabaripurvaknu,બળજબરીપૂર્વકનું
lubricate,લુબ્રિકેટ
garmentno,ગારમેન્ટનો
sanghshakti,સંઘશક્તિ
tanzania,તાંઝાનિયા
darwaajo,દરવાજો
iftaar,ઈફ્તાર
rickest,રિકેસ્ટ
kissinger,કિસ્સિનગર
workshopsma,વર્કશોપ્સમાં
parivarjano,પરિવારજનો
drashtreeae,દૃષ્ટ્રીએ
daamavaani,ડામવાની
chhupana,છુપાના
bhadrasinh,ભદ્રસિંહ
vaikuntha,વૈકુંઠ
ghoomnaa,ઘૂમના
dandagajab,દંડગજબ
representitive,રિપ્રેઝેન્ટિટિવ
khvaaboni,ખ્વાબોની
mahinala,મહિનાલા
thakurjina,ઠાકુરજીના
vipaat,વિપાટ
nathmal,નથમલ
bahenoma,બહેનોમાં
schmid,સ્ક્મિડ
inflony,ઇન્ફ્લોની
pamyochhe,પામ્યોછે
leukocytena,લ્યુકોસાઇટના
balakomana,બાળકોમાંના
elevatorsna,એલિવેટર્સના
pastaavonu,પસ્તાવોનું
ardhsatyanaa,અર્ધસત્યના
terasthi,તેરસથી
mujahiddinna,મુજાહિદ્દીનના
sainus,સાઇનસ
satrajitni,સત્રાજીતની
pavalionbhego,પેવેલિયનભેગો
dhoraatne,ધોરાતને
swadno,સ્વાદનો
agava,આગવા
bhavnanagar,ભાવનાનગર
gajrajthi,ગજરાજથી
mrityunu,મૃત્યુનું
cardellini,કાર્ડેલિની
yebo,યેબો
achemino,એકેમીનો
umeralee,ઉમેરલી
kelamne,કેલમને
decloride,ડિક્લોરાઇડ
tejomahalay,તેજોમહાલય
movaiyana,મોવૈયાના
kavyapanktiothi,કાવ્યપંક્તિઓથી
varselsana,વર્સેલ્સના
interferometry,ઇન્ટરફેરોમેટ્રી
genetixists,જિનેટિક્સિસ્ટ્સ
charchaavichaaranaanu,ચર્ચાવિચારણાનું
sirinjhano,સિરિંઝનો
lakshmangiri,લક્ષ્મણગીરી
goldschmid,ગોલ્ડસ્ચમિડ
oxidantsnee,ઓક્સિડન્ટ્સની
brangwenni,બ્રાન્ગવેનની
polestar,પોલેસ્ટર
transglobe,ટ્રાન્સગ્લોબ
sarjansatvathi,સર્જનસત્વથી
philemon,ફિલેમોન
lhybumbo,લ્હાયબંબો
pitni,પીતની
vasaahatnaao,વસાહતનાઓ
itunesma,આઇટ્યુન્સમાં
notankima,નોટંકીમાં
gijubhaina,ગિજુભાઈના
cbdne,સીબીડીને
chautabazarmathi,ચૌટાબજારમાંથી
darshananand,દર્શનાનંદ
jamanvaroma,જમણવારોમાં
cardism,કાર્ડિઝમ
parbatia,પરબતિયા
tripadini,ત્રિપદીની
claptocrate,ક્લેપ્ટોક્રેટ
sinhbaalonu,સિંહબાળોનું
shiftno,શિફ્ટનો
swinefluemaa,સ્વાઈનફ્લૂમાં
nishkarshmathi,નિષ્કર્ષમાંથી
hunnarshalani,હુન્નરશાળાની
aabhalaani,આભલાની
hanshraj,હંશરાજ
megaton,મેગાટોન
salidinov,સાલિદિનોવ
raakey,રાકેય
raghvandra,રાઘવંદ્ર
anishvitataao,અનિશ્વિતતાઓ
cathedralsnaa,કેથેડ્રલ્સના
arabastanni,અરબસ્તાનની
aspashtatamathi,અસ્પષ્ટતામાંથી
helpanambar,હેલ્પનંબર
ibodes,આઈબોડ્સ
corksquare,કૉર્કસ્ક્વેર
dhartinaa,ધરતીના
shaherathee,શહેરથી
aanchalthi,આંચલથી
naakno,નાકનો
graamthee,ગ્રામથી
omne,ઓમને
slingno,સ્લિંગનો
mahitivibhagna,માહિતીવિભાગના
chaaraneeno,ચારણીનો
himanshine,હિમાંશીને
yavroom,યાવરૂમ
twinkling,ટ્વિન્કલિંગ
pajaabmaa,પજાબમાં
naderji,નાદરજી
chemestryma,કેમેસ્ટ્રીમાં
scivernaa,સ્કિવરના
telegraphy,ટેલીગ્રાફી
nondhani,નોંધણી
prashantithi,પ્રશાંતિથી
hartmaan,હાર્ટમાં
amlipada,આમલીપાડા
aasthaothi,આસ્થાઓથી
scotts,સ્કોટ્ટસ
thoso,થોસો
madha,માધા
nisartani,નિસરતાની
elilez,એલિલેઝ
lagnageetonaa,લગ્નગીતોનાં
khorvaayaano,ખોરવાયાનો
marengo,મારેન્ગો
saatme,સાતમે
paulaadinaa,પૌલાદીના
andhshalana,અંધશાળાનાં
elto,એલ્ટો
kaataani,કાટાની
laambethee,લાંબેથી
konsam,કોનસામ
samajvyavasthama,સમાજવ્યવસ્થામાં
gonds,ગોંડ્સ
bhentnaar,ભેંટનાર
bated,બેટેડ
ugharaanine,ઉઘરાણીને
ketalsednaa,કેટલસેડના
limitedna,લિમીટેડના
aavyayo,આવ્યયો
ilalne,ઇલાલને
moregraph,મોરેગ્રાફ
prasaarno,પ્રસારનો
jagataroop,જગતરૂપ
vicharvala,વિચારવાળા
prakrutipremni,પ્રકૃતિપ્રેમની
lilaachhamno,લીલાછમનો
devdvaarni,દેવદ્વારની
agnisthapan,અગ્નિસ્થાપન
sendhvana,સેંધવાના
pentuck,પેન્ટક
valose,વાલોસે
chinhra,ચિન્હ્ર
hysteroid,હિસ્ટરોઇડ
sambhaalaa,સંભાળા
pyaarnee,પ્યારની
kornaar,કોરનાર
dampatneene,દંપતનીને
parvaarelaa,પરવારેલા
gupri,ગુપરી
kolkone,કોલ્કોને
appendicitismaa,એપેન્ડિસાઈટિસમાં
luthernonaa,લૂથરનોના
setrela,સેટ્રેલ
nashibthi,નશીબથી
bhashaswarupna,ભાષાસ્વરૂપના
offsna,ઓફ્સના
karunabharya,કરુણાભર્યા
bhandaarni,ભંડારની
urimaan,ઉરીમાં
alekia,આલેકિયા
metotraxet,મેટોટ્રેક્સેટ
manovishleshanthi,મનોવિશ્લેષણથી
lalaghum,લાલાઘૂમ
tofaanmaa,તોફાનમાં
tikitne,ટીકીટને
bollwoodni,બોલવૂડની
lalwadi,લાલવાડી
bakhtiyarpur,બખ્તીયારપુર
shvaas,શ્વાસ
nilgayni,નીલગાયની
bhidavvani,ભીડાવવાની
oxandrolan,ઓક્સાન્ડ્રોલન
infotel,ઇન્ફોટેલ
sustiwala,સુસ્તીવાળા
chopullu,ચોપુલ્લુ
sthapitahitoni,સ્થાપિતહિતોની
rashtriyastarni,રાષ્ટ્રિયસ્તરની
ghadiyaaloni,ઘડિયાળોની
chyurubuskoma,ચ્યુરુબુસ્કોમાં
taadni,તાડની
apya,આપ્યા
sarjarione,સર્જરીઓને
jijuvadiya,જીજુવાડિયા
khadamarket,ખાડામાર્કેટ
fundus,ફંડસ
modalmaannu,મોડલમાંનું
meethapur,મિઠાપુર
untvaidhyo,ઉંટવૈદ્યો
badlakhor,બદલાખોર
robitaka,રોબિટક
silasne,સિલાસને
naatak,નાટક
kinnaur,કિન્નૌર
tiovus,ટિયોવસ
gothvaasho,ગોઠવાશો
acu,એસીયુ
udarvala,ઉદરવાળા
koodanun,કુળનું
claudy,ક્લાઉડી
promiscuous,પ્રોમિસક્યુઅસ
pattanayak,પટ્ટનાયક
jarsimaanaa,જર્સીમાંના
migno,મિગનો
baakchusnu,બાકચુસનું
svaaytattaani,સ્વાયતત્તાની
shaherkyarek,શહેરક્યારેક
munjkuva,મુંજકુવા
pressne,પ્રેસને
jasmeeta,જસ્મીતા
udhaarini,ઉધારીની
kriyapratikriyata,ક્રિયાપ્રતિક્રિયાતા
lekhitpatro,લેખીતપત્રો
jataaoni,જટાઓની
bronocoscopy,બ્રૉનોકોસ્કોપી
liau,લિયાઉ
proplant,પ્રોપ્લાન્ટ
bonca,બોન્કા
abusive,એબ્યુઝીવ
yojataa,યોજાતા
coniff,કોનિફ
anchim,અંચિમ
virugh,વિરુઘ
khajurni,ખજૂરની
nermer,નર્મર
ahevaalnaa,અહેવાલના
mapare,માપરે
parineer,પરિણીર
bhautikshastranu,ભૌતિકશાસ્ત્રનું
ghansukh,ઘનસુખ
prasrutigruh,પ્રસૃતિગૃહ
potessiumnun,પોટેશિયમનું
designsna,ડિઝાઇન્સના
dharasabhyapadna,ધારાસભ્યપદના
investmentne,ઈન્વેસ્ટમેંટને
tonilchlomies,ટૉનિલક્લોમીઝ
krishnabhajan,કૃષ્ણભજન
kavihrudayno,કવિહૃદયનો
plasibo,પ્લાસીબો
pvaasmaa,પ્વાસમાં
gulzarilal,ગુલઝારીલાલ
aahuteeo,આહુતિઓ
jambuda,જામ્બુડા
chhupavyani,છુપાવ્યાની
bhimkaal,ભીમકાળ
bhednari,ભેદનારી
jaldharamathi,જલધારામાંથી
rheumatism,રૂમેટીઝમ
chandolima,ચંદોલીમાં
manakvala,માનકવાળા
jalilal,જલિલાલ
dilhee,દિલ્હી
kozhikodeno,કોઝીકોડનો
pahochaadyo,પહોચાડ્યો
andruzemaa,એન્ડ્રુઝમાં
aakashipindo,આકાશીપિંડો
baghdade,બગદાદે
kodand,કોદંડ
romito,રોમિટો
pentio,પેન્ટીઓ
seyrageyi,સેરગેઈ
volumonee,વોલ્યુમોની
yashasviben,યશસ્વીબેન
wirodheeoney,વિરોધીઓને
samayal,સમાયલ
viragne,વિરાગને
purbaharman,પૂરબહારમાં
padiya,પડિયા
bethaksthale,બેઠકસ્થળે
grahakano,ગ્રાહકનો
sumatrane,સુમાત્રાને
bafna,બાફના
hargrave,હાર્ગ્રેવ
thobhavya,થોભાવ્યા
prakaandano,પ્રકાંડનો
shantidada,શાંતિદાદા
barhatna,બારહટના
falovaalaa,ફળોવાળા
atibhogvaad,અતિભોગવાદ
cartoonistnaa,કાર્ટુનિસ્ટના
kaurae,કૌરએ
atalthee,અટલથી
chives,ચિવ્સ
ghasaine,ઘસાઈને
basilar,બેસીલર
chandragupta,ચંદ્રગુપ્ત
kangaaliyaat,કંગાળિયાત
kulbersh,કુલબર્શ
apavaav,અપવાવ
cartilageno,કાર્ટિલેજનો
pachaurini,પચૌરીની
dudheena,દૂધીના
garmaayel,ગરમાયેલ
kapadmil,કાપડમિલ
rizley,રિઝલે
mortsne,મૉર્ટ્સને
lingbhedne,લિંગભેદને
satviktapurvak,સાત્વિકતાપૂર્વક
sarvagasana,સર્વાગાસન
saundaryakaran,સૌન્દર્યકરણ
melnun,મેળનું
floodwater,ફ્લડવોટર
uthyaan,ઉઠ્યાં
rahasyavaadeeo,રહસ્યવાદીઓ
jodaninu,જોડણીનું
dandawala,દાંડાવાળા
bahoomulay,બહુમૂલ્ય
kalpanaaoni,કલ્પનાઓની
topthi,ટોપથી
viyara,વિયર
prathamkakshaanaa,પ્રથમકક્ષાના
malbarino,મલબારીનો
tolenol,ટોલેનોલ
aabedkar,આબેડકર
aseemanandanu,અસીમાનંદનું
heemalayni,હિમાલયની
shashiwal,શશિવાલ
ginnet,ગિનેટ
mcdonaldno,મેકડોનાલ્ડનો
transitivity,ટ્રાન્ઝિટીવીટી
dhatnae,ધટનાએ
jamnadase,જમનાદાસે
maibhakatto,માઇભકત્તો
schoolwennee,સ્કૂલવેનની
bachavnarne,બચાવનારને
bandhchhodni,બાંધછોડની
santulittaanaa,સંતુલિતતાના
semnarma,સેમનારમાં
sanatanne,સનાતનને
sahopastheet,સહોપસ્થિત
aayogna,આયોગના
chuntanichitra,ચૂંટણીચિત્ર
parkaje,પરકાજે
batkavala,બટકાવાળા
hathnikund,હથનીકુંડ
savitribenni,સાવિત્રીબેનની
shiomi,શિઓમી
safaipurvak,સફાઇપૂર્વક
anurupmaan,અનુરૂપમાં
germanystheet,જર્મનીસ્થિત
muxius,મ્યુક્સિયસ
havolo,હવોલો
kostic,કોસ્ટિક
salekshana,સલેક્શન
fenkati,ફેંકતી
yaga,યાગા
ekalavyamaa,એકલવ્યમાં
brockton,બ્રોકટન
svakendreey,સ્વકેંદ્રીય
gurubhaktoni,ગુરુભક્તોની
voodoo,વૂડૂ
vijkharidinaa,વીજખરીદીના
flycart,ફ્લાયકાર્ટ
ayodhyakes,અયોધ્યાકેસ
gnyanmudravate,જ્ઞાનમુદ્રાવતે
gauravbhaine,ગૌરવભાઇને
mandhaar,મંધાર
rakhati,રાખતી
katauti,કટૌતી
leobanema,લિયોબેનમાં
nikhat,નિખત
mahaarthimaan,મહાર્થીમાં
esrc,ઇએસઆરસી
naikula,નાયકુલા
nushka,નુષ્કા
vinobani,વિનોબાની
shuina,શુઈના
uttarkashimathi,ઉત્તરકાશીમાંથી
amarsinghbhai,અમરસિંગભાઈ
gholai,ઘોલાઇ
lakkadkhoro,લક્કડખોરો
nipjavee,નીપજાવી
shukhmay,શુખમય
fedfayun,ફેડફાયું
polytechnic,પોલિટેકનીક
vibhaavnaao,વિભાવનાઓ
kakorina,કાકોરીના
taponidhi,તપોનિધી
sweekrut,સ્વીકૃત
lashamee,લશમી
blaco,બ્લાકો
spraberry,સ્પ્રેબેરીએ
thriple,થ્રીપલ
millerso,મિલર્સો
sarvasaadhaaranne,સર્વસાધારણને
eja,ઇજા
mantox,મેન્ટોક્સ
amraiwalina,અમરાઇવાળીના
supernoads,સુપરનોડ્સ
messangerna,મેસેન્જરના
inflammation,ઈન્ફલેમેશન
bhavao,ભાવાઓ
keisek,કેઇસેક
aargonma,આર્ગોનમાં
abhigamah,અભિગમઃ
samudaayamaa,સમુદાયમાં
sahbhagikaranni,સહભાગીકરણની
kadveednee,કડવીડની
gharfodino,ઘરફોડીનો
chharvadani,છરવાડાની
psionological,સાયનોલોજિકલ
vyaapar,વ્યાપાર
sagado,સગડો
adhyakshatma,અધ્યક્ષતમાં
aatmiybhave,આત્મીયભાવે
interlocken,ઇન્ટરલોકેન
kumarikane,કુમારિકાને
demarest,ડિમેરેસ્ટ
vishwagram,વિશ્વગ્રામ
nicolepsy,નિકોલેપ્સી
singarja,સિંગરજા
westernthi,વેસ્ટર્નથી
carcinogen,કાર્સીનોજેન
punyadaayi,પુણ્યદાયી
sethanu,સેઠનું
tirthadhiraj,તીર્થાધિરાજ
badpar,બાડપર
lakeson,લેક્સન
lilabhabhine,લીલાભાભીને
aerocular,એરોક્યુલર
borexa,બોરેક્ષા
dodlam,દોડલામ
hongkogne,હોંગકોગને
saipan,સૈપાન
vintayeli,વિંટાયેલી
girjatmaj,ગિરજાત્મજ
namotsav,નમોત્સવ
gauravnu,ગૌરવનું
santakukadima,સંતાકુકડીમાં
byzantine,બાયઝેન્ટાઇનના
hinjbulnaa,હિંજબુલના
cesseron,સેસેરોન
ughaadade,ઉઘાડદે
lavajamma,લવાજમમાં
isrn,આઇએસઆરએન
varnsankarne,વર્ણસંકરને
salahuddinni,સલાહુદ્દીનની
superwick,સુપરવિક
sedavsky,સેડવસ્કી
obcnclma,ઓબીસીએનસીએલમાં
closius,ક્લોઝિયસ
kurize,કુરીઝે
thokartaa,ઠોકરતા
tenal,ટેનલ
litalfidhar,લીટલફીધર
zaranni,ઝરણની
heinike,હેઇનિકે
aanganna,આંગણના
dertist,ડર્ટીસ્ટ
okele,ઓકેલે
dipwalina,દિપવાલીના
navraatrino,નવરાત્રીનો
sadinaan,સદીનાં
margonite,માર્ગોનાઈટ
swarbhaar,સ્વરભાર
chitrangdana,ચિત્રાંગદાના
promising,પ્રોમિસિંગ
adhikaariaane,અધિકારીઆને
sanitarium,સેનેટેરીયમ
nikaljo,નીકાળજો
shikhavje,શીખવજે
mazdurina,મઝદુરીના
kapavadave,કપાવડાવે
jaashone,જાશોને
hongkogno,હોંગકોગનો
naturals,નેચરલ્સ
bhadrapad,ભાદ્રપદ
shihod,શિહોદ
radadiyani,રાદડીયાની
sharmaanu,શર્માનું
barodoli,બારોડોલી
filmanirmata,ફિલ્મનિર્મતા
