maaraataddu,ಮಾರಾಟದ್ದು
maaraatakkaagiyu,ಮಾರಾಟಕ್ಕಾಗಿಯೂ
hanchikollalara,ಹಂಚಿಕೊಳ್ಳಲಾರ
dappavaguttiddu,ದಪ್ಪವಾಗುತ್ತಿದ್ದು
navaratriyali,ನವರಾತ್ರಿಯಲಿ
tutoril,ಟ್ಯುಟೋರಿಲ್
nudalsgalagive,ನೂಡಲ್ಸ್ಗಳಾಗಿವೆ
permicson,ಪರ್ಮಿಕ್ಸನ್
horadtu,ಹೊರಡ್ತು
byaretgalu,ಬ್ಯಾರೆಟ್ಗಳು
loafing,ಲೋಫಿಂಗ್
punashchetanagonda,ಪುನಶ್ಚೇತನಗೊಂಡ
sibabul,ಸಿಬಾಬುಲ್
chuchchalillendu,ಚುಚ್ಚಲಿಲ್ಲೆಂದು
kedavabekayitu,ಕೆಡವಬೇಕಾಯಿತು
rudhisikonde,ರೂಢಿಸಿಕೊಂಡೆ
voluntary,ವಾಲೆಂಟರಿ
shamanagolisiruva,ಶಮನಗೊಳಿಸಿರುವ
berhaulter,ಬರ್ಹಾಲ್ಟರ್
odinalloo,ಓದಿನಲ್ಲೂ
apayaviruvudarinda,ಅಪಾಯವಿರುವುದರಿಂದ
kavare,ಕವರೆ
bisappanannu,ಬಿಷಪ್ಪನನ್ನು
peruvaadu,ಪೆರುವಾಡು
yesuvigaada,ಯೇಸುವಿಗಾದ
sonkuvige,ಸೋಂಕುವಿಗೆ
baabige,ಬಾಬಿಗೆ
kampinggalu,ಕಂಪಿಂಗ್ಗಳು
tadehidiyuvudaadaru,ತಡೆಹಿಡಿಯುವುದಾದರೂ
vyatyaasavallave,ವ್ಯತ್ಯಾಸವಲ್ಲವೆ
umeduvaarariddaare,ಉಮೇದುವಾರರಿದ್ದಾರೆ
falaroopa,ಫಲರೂಪ
yagittadaru,ಯಾಗಿತ್ತಾದರೂ
pukkiniyavara,ಪುಕ್ಕಿನಿಯವರ
devanoora,ದೇವನೂರ
hoguttidaru,ಹೋಗುತ್ತಿದರು
peyadalli,ಪೇಯದಲ್ಲಿ
vaiyaktikavagirabahudu,ವೈಯಕ್ತಿಕವಾಗಿರಬಹುದು
alirajapuradalli,ಅಲಿರಾಜಪುರದಲ್ಲಿ
baraballavaru,ಬರಬಲ್ಲವರು
samasyeyaguvudaralli,ಸಮಸ್ಯೆಯಾಗುವುದರಲ್ಲಿ
hidigattidante,ಹಿಡಿಗಟ್ಟಿದಂತೆ
naastikarendu,ನಾಸ್ತಿಕರೆಂದು
tantugalaagive,ತಂತುಗಳಾಗಿವೆ
aarisabahudaada,ಆರಿಸಬಹುದಾದ
taaluttiddalu,ತಾಳುತ್ತಿದ್ದಳು
vishayasoochige,ವಿಷಯಸೂಚಿಗೆ
abhyasagalu,ಅಭ್ಯಾಸಗಳು
adhvaanavannu,ಅಧ್ವಾನವನ್ನು
dharmiyarannolagonda,ಧರ್ಮಿಯರನ್ನೊಳಗೊಂಡ
kanakikodi,ಕನಕಿಕೋಡಿ
sambhavaviruvaga,ಸಂಭವವಿರುವಾಗ
neenagni,ನೀನಗ್ನಿ
shatamsha,ಶತಾಂಶ
koragaru,ಕೊರಗರು
aakarshavaagide,ಆಕರ್ಷವಾಗಿದೆ
isteader,ಇಸ್ಟೀಡರ್
chavundarayanannu,ಚಾವುಂಡರಾಯನನ್ನು
kuladevaralli,ಕುಲದೇವರಲ್ಲಿ
gundejari,ಗುಂಡೇಜಾರಿ
taluvidare,ತಳುವಿದರೆ
apstetnalliruva,ಅಪ್ಸ್ಟೇಟ್ನಲ್ಲಿರುವ
kodutaliruva,ಕೊಡುತಲಿರುವ
getteo,ಗೆಟ್ಟೆಯೋ
powerbowne,ಪವರ್ಬೌನ್
ulisikollaaka,ಉಳಿಸಿಕೊಳ್ಳಾಕ
bengadira,ಬೆಂಗದಿರ
sambandhaanta,ಸಂಬಂಧಾಂತ
accessories,ಅಕ್ಸೆಸರೀಸ್
kharbanda,ಕರಬಂಧ
haasigeyallidde,ಹಾಸಿಗೆಯಲ್ಲಿದ್ದೇ
myaarejage,ಮ್ಯಾರೇಜಗೆ
anaanukoolakaravaagidda,ಅನಾನುಕೂಲಕರವಾಗಿದ್ದ
haavanoorina,ಹಾವನೂರಿನ
muttuvairava,ಮುತ್ತುವೈರವ
salahiko,ಸಲಹಿಕೊ
parichayavagalu,ಪರಿಚಯವಾಗಲು
companiyaada,ಕಂಪೆನಿಯಾದ
tegedirisuttaane,ತೆಗೆದಿರಿಸುತ್ತಾನೆ
uddhaaravendartha,ಉದ್ಧಾರವೆಂದರ್ಥ
tiruchalaagideyemba,ತಿರುಚಲಾಗಿದೆಯೆಂಬ
kaaryayojaneyaada,ಕಾರ್ಯಯೋಜನೆಯಾದ
unisugalu,ಉಣಿಸುಗಳು
bharavaseyiruva,ಭರವಸೆಯಿರುವ
ushnavalayadalli,ಉಷ್ಣವಲಯದಲ್ಲಿ
teranayitalla,ತೆರನಾಯಿತಲ್ಲ
dushtagondiruvudannu,ದುಷ್ಟಗೊಂಡಿರುವುದನ್ನು
khadiralinga,ಖಾದಿರಲಿಂಗ
bidugadegondavaru,ಬಿಡುಗಡೆಗೊಂಡವರು
varamantriye,ವರಮಂತ್ರಿಯೆ
harshodghaaravannu,ಹರ್ಷೋದ್ಘಾರವನ್ನು
odakugaliruvudu,ಒಡಕುಗಳಿರುವುದು
soumyaragiri,ಸೌಮ್ಯರಾಗಿರಿ
iralaaranendu,ಇರಲಾರನೆಂದು
bhavatprabhuve,ಭವತ್ಪ್ರಭುವೇ
tantragyaanagalulla,ತಂತ್ರಜ್ಞಾನಗಳುಳ್ಳ
lamar,ಲಾಮಾರ್
kootigintalu,ಕೋಟಿಗಿಂತಲು
uchchanyaayalayada,ಉಚ್ಚನ್ಯಾಯಲಯದ
fibergalondige,ಫೈಬರ್ಗಳೊಂದಿಗೆ
sasyagalondigina,ಸಸ್ಯಗಳೊಂದಿಗಿನ
sharatthina,ಷರತ್ತಿನ
beesuttiddara,ಬೀಸುತ್ತಿದ್ದರ
kanyashree,ಕನ್ಯಶ್ರೀ
jagdalpuravu,ಜಗ್ದಲ್ಪುರವು
achchagisuvudu,ಅಚ್ಚಾಗಿಸುವುದು
scarfo,ಸ್ಕಾರ್ಫೊ
aadastu,ಆದಸ್ತು
kaumudeeparva,ಕೌಮುದೀಪರ್ವ
pratishtapisalive,ಪ್ರತಿಷ್ಠಾಪಿಸಲಿವೆ
kannaanurugaliddavu,ಕಣ್ಣಾನೂರುಗಳಿದ್ದವು
chokkalingam,ಚೊಕ್ಕಲಿಂಗಮ್
haakikondaroo,ಹಾಕಿಕೊಂಡರೂ
besharattaagi,ಬೇಷರತ್ತಾಗಿ
hoodare,ಹೂದರೆ
dhirabalakaru,ಧೀರಬಾಲಕರು
duravidalpatta,ದೂರವಿಡಲ್ಪಟ್ಟ
lokabindusara,ಲೋಕಬಿಂದುಸಾರ
kayuvikegu,ಕಾಯುವಿಕೆಗೂ
mechchidava,ಮೆಚ್ಚಿದವ
kadidagiruttade,ಕಡಿದಾಗಿರುತ್ತದೆ
haduhogabahude,ಹಾದುಹೋಗಬಹುದೇ
hambalisuttiruvavaru,ಹಂಬಲಿಸುತ್ತಿರುವವರು
turnoverige,ಟರ್ನೋವರಿಗೆ
ulidiruvudannu,ಉಳಿದಿರುವುದನ್ನು
lingashaastrada,ಲಿಂಗಶಾಸ್ತ್ರದ
jiwari,ಜಿವಾರಿ
pashnege,ಪಶ್ನೆಗೆ
shivakenchegouda,ಶಿವಕೆಂಚೇಗೌಡ
vibhootipramaanada,ವಿಭೂತಿಪ್ರಮಾಣದ
kesarinath,ಕೇಸರಿನಾಥ್
skalkugun,ಸ್ಕಲ್ಕುಗುನ್
ajendavagittu,ಅಜೆಂಡವಾಗಿತ್ತು
kattarisibidabekendu,ಕತ್ತರಿಸಿಬಿಡಬೇಕೆಂದು
baredillawa,ಬರೆದಿಲ್ಲವಾ
muffley,ಮಫ್ಲೆ
hosakaaru,ಹೊಸಕಾರು
gorman,ಗೊರ್ಮನ್
aposhana,ಅಪೋಷಣ
scapular,ಸ್ಕಾಪುಲರ್
khangrapokpi,ಖಂಗ್ರಪೋಕ್ಪಿ
manuars,ಮ್ಯಾನುವರ್ಸ್
tahasiladdaara,ತಹಸೀಲದ್ದಾರ
janakaje,ಜನಕಜೆ
bhoomivaada,ಭೂಮಿವಾದ
sanjaateyaada,ಸಂಜಾತೆಯಾದ
vasantotsavavoo,ವಸಂತೋತ್ಸವವೂ
svachchavaagidda,ಸ್ವಚ್ಛವಾಗಿದ್ದ
saalagalallide,ಸಾಲಗಳಲ್ಲಿದೆ
illadalli,ಇಲ್ಲದಲ್ಲಿ
hrudayaantadaaladinda,ಹೃದಯಾಂತದಾಳದಿಂದ
kunjarpa,ಕುಂಜರ್ಪ
sandagourava,ಸಂದಗೌರವ
pugachevala,ಪುಗಚೆವಳ
vikoopagolluttiruva,ವಿಕೋಪಗೊಳ್ಳುತ್ತಿರುವ
daakhalaagiruvavarannu,ದಾಖಲಾಗಿರುವವರನ್ನು
kosunk,ಕೊಸುಂಕ್
hyperthyroid,ಹೈಪರ್ಥೈರಾಯಿಡ್
nrutyasakta,ನೃತ್ಯಾಸಕ್ತ
sarvashrestha,ಸರ್ವಶ್ರೇಷ್ಠ
prarthanam,ಪ್ರಾರ್ಥನಂ
ullasagolisi,ಉಲ್ಲಾಸಗೊಳಿಸಿ
hakisikollabahudu,ಹಾಕಿಸಿಕೊಳ್ಳಬಹುದು
kelirido,ಕೇಳಿರಿದೋ
shariradondige,ಶರೀರದೊಂದಿಗೆ
aarboristgalu,ಆರ್ಬೊರಿಸ್ಟ್ಗಳು
aarisideyo,ಆರಿಸಿದೆಯೋ
piditadinda,ಪೀಡಿತದಿಂದ
vivarisaballantaha,ವಿವರಿಸಬಲ್ಲಂತಹ
himbhaadalliruva,ಹಿಂಭಾದಲ್ಲಿರುವ
vaaragalalinnu,ವಾರಗಳಲಿನ್ನು
kaadinedeyinda,ಕಾಡಿನೆಡೆಯಿಂದ
pesani,ಪೆಸಾನಿ
panwel,ಪಾನ್ವೆಲ್
nilagangamma,ನೀಲಗಂಗಮ್ಮ
sanghootsavagalu,ಸಂಘೋತ್ಸವಗಳು
soochanegalanvaya,ಸೂಚನೆಗಳನ್ವಯ
shaktihinaragiddaru,ಶಕ್ತಿಹೀನರಾಗಿದ್ದರು
bulepuna,ಬುಲೆಪುನ
meygareda,ಮೆಯ್ಗರೆದ
raajadhaanigalendare,ರಾಜಧಾನಿಗಳೆಂದರೆ
argumentninda,ಆರ್ಗ್ಯುಮೆಂಟ್ನಿಂದ
odisuvadarinda,ಓಡಿಸುವದರಿಂದ
kumaaradhaaregala,ಕುಮಾರಧಾರೆಗಳ
abhyarthigalannuna,ಅಭ್ಯರ್ಥಿಗಳನ್ನುನ
chekoslovakia,ಚೆಕೊಸ್ಲೋವಾಕಿಯಾ
kittatavoo,ಕಿತ್ತಾಟವೂ
sobnawa,ಸೋಬ್ನಾವ
madilanalli,ಮಡಿಲನಲ್ಲಿ
khaaliyaaguvudannu,ಖಾಲಿಯಾಗುವುದನ್ನು
kolkingnondige,ಕೋಲ್ಕಿಂಗ್ನೊಂದಿಗೆ
tannagiduva,ತಣ್ಣಗಿಡುವ
prabuddhaanandarannu,ಪ್ರಬುದ್ಧಾನಂದರನ್ನು
mekegaligaagi,ಮೇಕೆಗಳಿಗಾಗಿ
manushyaroopadalli,ಮನುಷ್ಯರೂಪದಲ್ಲಿ
pratitigalinda,ಪ್ರತೀತಿಗಳಿಂದ
lobber,ಲಾಬರ್
tinnuvantiddare,ತಿನ್ನುವಂತಿದ್ದರೆ
baaleleyinda,ಬಾಳೆಲೆಯಿಂದ
ppisiddaru,ಪ್ಪಿಸಿದ್ದರು
raashtravallade,ರಾಷ್ಟ್ರವಲ್ಲದೆ
doregolu,ದೊರೆಗೋಳು
hechchumata,ಹೆಚ್ಚುಮತ
musuguttuttide,ಮುಸುಗುಟ್ಟುತ್ತಿದೆ
roopakavaagidda,ರೂಪಕವಾಗಿದ್ದ
deshiya,ದೇಶೀಯ
upeksanam,ಉಪೇಕ್ಷಣಂ
tekkalakotedinda,ತೆಕ್ಕಲಕೋಟೆದಿಂದ
hecchinamsha,ಹೆಚ್ಚಿನಂಶ
devasetuvagi,ದೇವಸೇತುವಾಗಿ
mamooliyagiddarinda,ಮಾಮೂಲಿಯಾಗಿದ್ದರಿಂದ
pratiraksheyannu,ಪ್ರತಿರಕ್ಷೆಯನ್ನು
madibi,ಮಾಡಿಬಿ
umedhuvaarikeyannu,ಉಮೇಧುವಾರಿಕೆಯನ್ನು
vikasagonda,ವಿಕಾಸಗೊಂಡ
premapuranagalu,ಪ್ರೇಮಪುರಾಣಗಳು
nartisuvudu,ನರ್ತಿಸುವುದು
drudhavaagisalu,ದೃಢವಾಗಿಸಲು
hejjegaarikeya,ಹೆಜ್ಜೆಗಾರಿಕೆಯ
pakshaviddante,ಪಕ್ಷವಿದ್ದಂತೆ
dasura,ದಸುರ
suchisaralilla,ಸೂಚಿಸರಲಿಲ್ಲ
parichalaneyaguttide,ಪರಿಚಲನೆಯಾಗುತ್ತಿದೆ
parikshegolapatte,ಪರೀಕ್ಷೆಗೊಳಪಟ್ಟೆ
bhagiyagirabahudemba,ಭಾಗಿಯಾಗಿರಬಹುದೆಂಬ
benzin,ಬೆಂಜಿನ್
kaaryagatavaagive,ಕಾರ್ಯಗತವಾಗಿವೆ
vettable,ವೆಟ್ಟೇಬಲ್
bogalalu,ಬೊಗಳಲು
eletakke,ಎಳೆತಕ್ಕೆ
nikshepaviruvudaagi,ನಿಕ್ಷೇಪವಿರುವುದಾಗಿ
hardiyagiddaroo,ಹಾರ್ಡಿಯಾಗಿದ್ದರೂ
prafullith,ಪ್ರಫುಲ್ಲಿತ್
aaduvantahaddu,ಆಡುವಂತಹದ್ದು
iriyuttiruvaaga,ಇರಿಯುತ್ತಿರುವಾಗ
mahonnathiyu,ಮಹೋನ್ನತಿಯು
narikombuvinalli,ನರಿಕೊಂಬುವಿನಲ್ಲಿ
amanatugolisilla,ಅಮಾನತುಗೊಳಿಸಿಲ್ಲ
ilidiruvavarige,ಇಳಿದಿರುವವರಿಗೆ
ganakikaranagolisida,ಗಣಕೀಕರಣಗೊಳಿಸಿದ
namdaiti,ನಮ್ದೈತಿ
bhashegagi,ಭಾಷೆಗಾಗಿ
karnapalike,ಕರ್ಣಪಾಲಿಕೆ
battegintaloo,ಬಟ್ಟೆಗಿಂತಲೂ
revens,ರೆವೆನ್ಸ್
maindgaagi,ಮೈಂಡ್ಗಾಗಿ
kaadambariyalliyu,ಕಾದಂಬರಿಯಲ್ಲಿಯೂ
lifevantage,ಲೈಫ್ವಾಂಟೇಜ್
kumaraparkina,ಕುಮಾರಪಾರ್ಕಿನ
bichchikondiruvante,ಬಿಚ್ಚಿಕೊಂಡಿರುವಂತೆ
aremanaskateyalle,ಅರೆಮನಸ್ಕತೆಯಲ್ಲೆ
ondeyaadaroo,ಒಂದೆಯಾದರೂ
hattiyannu,ಹಟ್ಟಿಯನ್ನು
rajaralvikeyanna,ರಾಜರಾಳ್ವಿಕೆಯನ್ನ
mudabir,ಮುದಾಬೀರ್
nirakarisalpattalu,ನಿರಾಕರಿಸಲ್ಪಟ್ಟಳು
badalisiruvudillavo,ಬದಲಿಸಿರುವುದಿಲ್ಲವೋ
bhinnavagiddaro,ಭಿನ್ನವಾಗಿದ್ದಾರೋ
tereyaballadu,ತೆರೆಯಬಲ್ಲದು
ghanakayagalu,ಘನಕಾಯಗಳು
reproad,ರಿಪ್ರೊಡ್
hagmadi,ಹಾಗ್ಮಾಡಿ
nadediveye,ನಡೆದಿವೆಯೇ
opputtaarennuva,ಒಪ್ಪುತ್ತಾರೆನ್ನುವ
jalashayadallide,ಜಲಾಶಯದಲ್ಲಿದೆ
alateyilladashtu,ಅಳತೆಯಿಲ್ಲದಷ್ಟು
basyaadalli,ಬಸ್ಯಾದಲ್ಲಿ
huliyantittu,ಹುಲಿಯಂತಿತ್ತು
uriyuvudarinda,ಉರಿಯುವುದರಿಂದ
parividigalannu,ಪರಿವಿಡಿಗಳನ್ನು
andravannu,ಆಂದ್ರವನ್ನು
shikaarapurada,ಶಿಕಾರಪುರದ
vakilaraagiddudarinda,ವಕೀಲರಾಗಿದ್ದುದರಿಂದ
murkundi,ಮುರ್ಕುಂಡಿ
bisilembudu,ಬಿಸಿಲೆಂಬುದು
haakuttiddeve,ಹಾಕುತ್ತಿದ್ದೆವೆ
uddeshavagittukonde,ಉದ್ದೇಶವಾಗಿಟ್ಟುಕೊಂಡೆ
jarugisaliddu,ಜರುಗಿಸಲಿದ್ದು
vegiye,ವೇಗಿಯೇ
asareyagiruvudannu,ಆಸರೆಯಾಗಿರುವುದನ್ನು
mottadallidda,ಮೊತ್ತದಲ್ಲಿದ್ದ
sangrahisalaarambhisida,ಸಂಗ್ರಹಿಸಲಾರಂಭಿಸಿದ
pilonepheritisnantaha,ಪೈಲೊನೆಫೆರಿಟಿಸ್ನಂತಹ
hudugisalpaduttade,ಹುದುಗಿಸಲ್ಪಡುತ್ತದೆ
hudugiyaagiddalu,ಹುಡುಗಿಯಾಗಿದ್ದಳು
daavanagereyalloo,ದಾವಣಗೆರೆಯಲ್ಲೂ
helikalisiddaarante,ಹೇಳಿಕಳಿಸಿದ್ದಾರಂತೆ
adhikariyagiruttare,ಅಧಿಕಾರಿಯಾಗಿರುತ್ತಾರೆ
spardhaakootagalalli,ಸ್ಪರ್ಧಾಕೂಟಗಳಲ್ಲಿ
divyaroopa,ದಿವ್ಯರೂಪ
aravadde,ಅರವದ್ದೇ
pradeshakkella,ಪ್ರದೇಶಕ್ಕೆಲ್ಲ
madkandidvi,ಮಾಡ್ಕಂಡಿದ್ವಿ
nirmitikendra,ನಿರ್ಮಿತಿಕೇಂದ್ರ
canvasu,ಕ್ಯಾನ್ವಾಸು
gattikondu,ಗಟ್ಟಿಕೊಂಡು
santaanaharanakkaagi,ಸಂತಾನಹರಣಕ್ಕಾಗಿ
bestseller,ಬೆಸ್ಟ್ಸೆಲ್ಲರ್
sangamani,ಸಂಗಮಣಿ
khandisalla,ಖಂಡಿಸಲ್ಲ
aguttadadare,ಆಗುತ್ತದಾದರೆ
prakatanegoliside,ಪ್ರಕಟಣೆಗೊಳಿಸಿದೆ
veedaanadi,ವೇದಾನದಿ
vasantagalemba,ವಸಂತಗಳೆಂಬ
matregalillada,ಮಾತ್ರೆಗಳಿಲ್ಲದ
preclinical,ಪ್ರಿಕ್ಲಿನಿಕಲ್
pallai,ಪಲ್ಲೈ
sariyaguttadendu,ಸರಿಯಾಗುತ್ತದೆಂದು
khilate,ಖಿಲಾತೆ
kadalalegalante,ಕಡಲಲೆಗಳಂತೆ
jeroth,ಜೆರೋತ್
yogyaviddalli,ಯೋಗ್ಯವಿದ್ದಲ್ಲಿ
karetaruvudendu,ಕರೆತರುವುದೆಂದು
iddaavendu,ಇದ್ದಾವೆಂದು
saagaatagalantaha,ಸಾಗಾಟಗಳಂತಹ
tilisabekagilla,ತಿಳಿಸಬೇಕಾಗಿಲ್ಲ
sambandhadali,ಸಂಬಂಧದಲಿ
adharo,ಆಧಾರೋ
golisaloo,ಗೊಳಿಸಲೂ
padmavatiyantaha,ಪದ್ಮಾವತಿಯಂತಹ
namjana,ನಮ್ಜನ
pesarugalannu,ಪೆಸರುಗಳನ್ನು
darugatti,ದಾರುಗಟ್ಟಿ
soladinda,ಸೋಲದಿಂದ
maaduvudollitu,ಮಾಡುವುದೊಳ್ಳಿತು
vishvaatmakavaada,ವಿಶ್ವಾತ್ಮಕವಾದ
sevaneyannashte,ಸೇವನೆಯನ್ನಷ್ಟೆ
koruttene,ಕೊರುತ್ತೇನೆ
kuttitara,ಕುಟ್ಟಿತರ
swaatantryakottu,ಸ್ವಾತಂತ್ರ್ಯಕೊಟ್ಟು
pyaanalnondige,ಪ್ಯಾನಲ್ನೊಂದಿಗೆ
haadugaliruvude,ಹಾಡುಗಳಿರುವುದೇ
bipashaage,ಬಿಪಶಾಗೆ
nillisiruvadu,ನಿಲ್ಲಿಸಿರುವದು
mounuddin,ಮೌನುದ್ದೀನ್
aadhaaritavaagiruttaare,ಆಧಾರಿತವಾಗಿರುತ್ತಾರೆ
charlottes,ಚಾರ್ಲೊಟ್ಸ್
bhaavasookshmagalannu,ಭಾವಸೂಕ್ಷ್ಮಗಳನ್ನು
vastusaara,ವಸ್ತುಸಾರ
aluttiruvaru,ಅಳುತ್ತಿರುವರು
tukadisuttidde,ತೂಕಡಿಸುತ್ತಿದ್ದೆ
kusiyalaarambhisidante,ಕುಸಿಯಲಾರಂಭಿಸಿದಂತೆ
bhakutiyanu,ಭಕುತಿಯನು
krishnapoojege,ಕೃಷ್ಣಪೂಜೆಗೆ
jivitavide,ಜೀವಿತವಿದೆ
elubugaloo,ಎಲುಬುಗಳೂ
uttarisiddevu,ಉತ್ತರಿಸಿದ್ದೆವು
prayojanavagaliruva,ಪ್ರಯೋಜನವಾಗಲಿರುವ
pradarsisaliddaare,ಪ್ರದರ್ಶಿಸಲಿದ್ದಾರೆ
buttiyittu,ಬುಟ್ಟಿಯಿತ್ತು
haaduttiddi,ಹಾಡುತ್ತಿದ್ದಿ
chakravartiyobbanidda,ಚಕ್ರವರ್ತಿಯೊಬ್ಬನಿದ್ದ
cameradavarannu,ಕ್ಯಾಮರದವರನ್ನು
regimend,ರೆಜಿಮೆಂಡ್
padmabhushana,ಪದ್ಮಭೂಷಣ
bidisittittu,ಬಿಡಿಸಿಟ್ಟಿತ್ತು
bharavaseyilladeye,ಭರವಸೆಯಿಲ್ಲದೆಯೇ
saavanappuvudannu,ಸಾವನಪ್ಪುವುದನ್ನು
avakaashagalondige,ಅವಕಾಶಗಳೊಂದಿಗೆ
maple,ಮ್ಯಾಪಲ್
tyajisalpatta,ತ್ಯಜಿಸಲ್ಪಟ್ಟ
ninnanujana,ನಿನ್ನನುಜನ
upadeshidaru,ಉಪದೇಶಿದರು
ghollenditu,ಘೊಳ್ಳೆಂದಿತು
pindigalannu,ಪಿಂಡಿಗಳನ್ನು
pencock,ಪೆಂಕಾಕ್
byaatariyindaloo,ಬ್ಯಾಟರಿಯಿಂದಲೂ
shadam,ಶದಾಮ್
narayanaghattada,ನಾರಾಯಣಘಟ್ಟದ
talappuya,ತಲಪ್ಪುಯ
raitamorcha,ರೈತಮೋರ್ಚಾ
phalav,ಫಲವ್
sumadra,ಸುಮದ್ರ
elread,ಎಲ್ರೆಡ್
laabavu,ಲಾಬವು
ivrenidru,ಇವ್ರೇನಿದ್ರೂ
tantragnanadalli,ತಂತ್ರಜ್ಞನದಲ್ಲಿ
gurugalaaguttaare,ಗುರುಗಳಾಗುತ್ತಾರೆ
noduttiruvarante,ನೋಡುತ್ತಿರುವವರಂತೆ
ganeeya,ಗಣೀಯ
lalitakkana,ಲಲಿತಕ್ಕನ
ashtottige,ಅಷ್ಟೊತ್ತಿಗೆ
prachaarakarenisida,ಪ್ರಚಾರಕರೆನಿಸಿದ
diggajarivaru,ದಿಗ್ಗಜರಿವರು
ulamarantaha,ಉಲಮಾರಂತಹ
ullekhisiddannu,ಉಲ್ಲೇಖಿಸಿದ್ದನ್ನು
bahusankhyaatare,ಬಹುಸಂಖ್ಯಾತರೆ
sakshikarisikondu,ಸಾಕ್ಷೀಕರಿಸಿಕೊಂಡು
swiftt,ಸ್ವಿಫ್ಟ್ಟ್
pradhaanavaagiye,ಪ್ರಧಾನವಾಗಿಯೇ
aralasuruli,ಅರಳಸುರುಳಿ
manetagalu,ಮನೆತಗಳು
aavarisikonditu,ಆವರಿಸಿಕೊಂಡಿತು
taakattilladiddare,ತಾಕತ್ತಿಲ್ಲದಿದ್ದರೆ
parikatha,ಪರಿಕಥಾ
shamanavaguttiralilla,ಶಮನವಾಗುತ್ತಿರಲಿಲ್ಲ
aduvarigoo,ಅದುವರಿಗೂ
padmavatiya,ಪದ್ಮಾವತಿಯಾ
aastiyaagiddaane,ಆಸ್ತಿಯಾಗಿದ್ದಾನೆ
jungaadalli,ಜುಂಗಾದಲ್ಲಿ
munnur,ಮುನ್ನೂರ್
atikramanadaararalli,ಅತಿಕ್ರಮಣದಾರರಲ್ಲಿ
bavuma,ಬಾವುಮಾ
soochisuttillave,ಸೂಚಿಸುತ್ತಿಲ್ಲವೇ
kantugouda,ಕಾಂತುಗೌಡ
nelekandiddaare,ನೆಲೆಕಂಡಿದ್ದಾರೆ
kottubittanalla,ಕೊಟ್ಟುಬಿಟ್ಟನಲ್ಲ
gottagillavante,ಗೊತ್ತಾಗಿಲ್ಲವಂತೆ
adhikaarigalanu,ಅಧಿಕಾರಿಗಳನು
sakagogutte,ಸಾಕಾಗೋಗುತ್ತೆ
asaamaanyavaadaru,ಅಸಾಮಾನ್ಯವಾದರೂ
smashana,ಸ್ಮಶಾನಾ
secures,ಸೆಕ್ಯೂರ್ಸ್
okkarisuva,ಒಕ್ಕರಿಸುವ
moosaanannu,ಮೂಸಾನನ್ನು
nudidiruvudu,ನುಡಿದಿರುವುದು
praveshisadantaguttade,ಪ್ರವೇಶಿಸದಂತಾಗುತ್ತದೆ
vishraantiyalliddu,ವಿಶ್ರಾಂತಿಯಲ್ಲಿದ್ದು
hindutvas,ಹಿಂದುತ್ವಾಸ್
chendavagiye,ಚೆಂದವಾಗಿಯೇ
pushpakamala,ಪುಷ್ಪಕಮಾಲ
pomogranet,ಪೊಮೊಗ್ರನೆಟ್
ashuddhanalla,ಅಶುದ್ಧನಲ್ಲ
kavoo,ಕವೂ
janasankhyeyagittu,ಜನಸಂಖ್ಯೆಯಾಗಿತ್ತು
nagadevateyannu,ನಾಗದೇವತೆಯನ್ನು
upavidhavu,ಉಪವಿಧವು
mundadiyidadante,ಮುಂದಡಿಯಿಡದಂತೆ
yatreyannuddeshisi,ಯಾತ್ರೆಯನ್ನುದ್ದೇಶಿಸಿ
jalisi,ಜಾಲಿಸಿ
nicotenic,ನಿಕೋಟೆನಿಕ್
moovattu,ಮೂವತ್ತು
pakkakkirisida,ಪಕ್ಕಕ್ಕಿರಿಸಿದ
sthaapisutthave,ಸ್ಥಾಪಿಸುತ್ತದೆ
santruptanaagiruttaane,ಸಂತೃಪ್ತನಾಗಿರುತ್ತಾನೆ
aahlaadagala,ಆಹ್ಲಾದಗಳ
clatton,ಕ್ಲಾಟನ್
spiring,ಸ್ಪೈರಿಂಗ್
striyobbale,ಸ್ತ್ರೀಯೊಬ್ಬಳೆ
pakshahitave,ಪಕ್ಷಹಿತವೇ
reddidvayara,ರೆಡ್ಡಿದ್ವಯರ
huliyaagiddu,ಹುಲಿಯಾಗಿದ್ದು
kusiyuttiddudu,ಕುಸಿಯುತ್ತಿದ್ದುದು
rannava,ರನ್ನವ
gornante,ಗೋರ್ನಂತೆ
majilodi,ಮಜಿಲೋಡಿ
samskaranegaagi,ಸಂಸ್ಕರಣೆಗಾಗಿ
nenapinalliruvantaha,ನೆನಪಿನಲ್ಲಿರುವಂತಹ
horahommiruttaare,ಹೊರಹೊಮ್ಮಿರುತ್ತಾರೆ
paragraphgalannu,ಪ್ಯಾರಾಗ್ರಾಫ್ಗಳನ್ನು
jagadgurushree,ಜಗದ್ಗುರುಶ್ರೀ
saakshiyaagiddalu,ಸಾಕ್ಷಿಯಾಗಿದ್ದಳು
sasyanashagala,ಸಸ್ಯನಾಶಗಳ
paaravilladantaagide,ಪಾರವಿಲ್ಲದಂತಾಗಿದೆ
maraluvavaraagiddaru,ಮರಳುವವರಾಗಿದ್ದರು
maruttarisi,ಮರುತ್ತರಿಸಿ
aayojanegalinda,ಆಯೋಜನೆಗಳಿಂದ
