mathanggi,ꯃꯊꯪꯒꯤ
mayamsi,ꯃꯌꯥꯝꯁꯤ
yaanadabasidagisu,ꯌꯥꯅꯗꯕꯁꯤꯗꯒꯤꯁꯨ
hakchaang,ꯍꯛꯆꯥꯡ
watigi,ꯋꯇꯤꯒꯤ
kayatsingni,ꯀꯌꯥꯠꯁꯤꯡꯅꯤ
pheebul,ꯐꯤꯕꯨꯜ
khaangba,ꯈꯥꯡꯕ
hemicordata,ꯍꯦꯃꯤꯀꯣꯔꯗꯥꯇꯥ
thaanggatpi,ꯊꯥꯡꯒꯠꯄꯤ
achaapotni,ꯑꯆꯥꯄꯣꯠꯅꯤ
chikpa,ꯆꯤꯛꯄ
thalo,ꯊꯂꯣ
durvasa,ꯗꯨꯔꯕꯥꯁꯥ
lenjana,ꯂꯦꯟꯖꯅ
sitlaga,ꯁꯤꯠꯂꯒ
sarmila,ꯁꯔꯃꯤꯂꯥ
haathawe,ꯍꯥꯊꯋꯦ
sangkhaklaga,ꯁꯪꯈꯛꯂꯒ
khuyon,ꯈꯨꯌꯣꯟ
punminnabagi,ꯄꯨꯟꯃꯤꯟꯅꯕꯒꯤ
pamjana,ꯄꯥꯝꯖꯅ
palaan,ꯄꯂꯥꯟ
sabitri,ꯁꯥꯕꯤꯇ꯭ꯔꯤ
quranga,ꯀꯨꯔꯥꯟꯒ
lipunsingsida,ꯂꯤꯄꯨꯟꯁꯤꯡꯁꯤꯗ
aningba,ꯑꯅꯤꯡꯕ
keirencha,ꯀꯩꯔꯦꯟꯆꯥ
lipun,ꯂꯤꯄꯨꯟ
chingu,ꯆꯤꯉꯨ
ontapa,ꯑꯣꯟꯇꯄ
lousinnaba,ꯂꯧꯁꯤꯟꯅꯕ
lallal,ꯂꯜꯂꯜ
leibaakta,ꯂꯩꯕꯥꯛꯇ
yabadi,ꯌꯥꯕꯗꯤ
thonkhibani,ꯊꯣꯟꯈꯤꯕꯅꯤ
sandorakkhriba,ꯁꯟꯗꯣꯔꯛꯈ꯭ꯔꯤꯕ
khampaa,ꯈꯝꯄꯥ
thaapalon,ꯊꯥꯄꯂꯣꯟꯒꯤ
hibi,ꯍꯤꯕꯤ
paartigi,ꯄꯥꯔꯇꯤꯒꯤ
mausoleum,ꯃꯣꯁꯣꯂꯤꯌꯝ
kolkatanachingba,ꯀꯣꯜꯀꯇꯥꯅꯆꯤꯡꯕ
mahu,ꯃꯍꯨ
faabaa,ꯐꯥꯕꯥ
khongtana,ꯈꯣꯡꯇꯅ
humfutaruk,ꯍꯨꯝꯐꯨꯇꯔꯨꯛ
angaanghal,ꯑꯉꯥꯡꯍꯜ
chapchaana,ꯆꯞꯆꯥꯅ
osabadi,ꯑꯣꯁꯥꯕꯗꯤ
phangkhibagi,ꯐꯪꯈꯤꯕꯒꯤ
ruda,ꯔꯨꯗ
kharaasu,ꯈꯔꯥꯁꯨ
tamsinbaa,ꯇꯝꯁꯤꯟꯕꯥ
jida,ꯖꯤꯗ
fattradi,ꯐꯠꯇ꯭ꯔꯗꯤ
khangnaram,ꯈꯪꯅꯔꯝ
naapachik,ꯅꯥꯄꯆꯤꯛ
tripuragi,ꯇ꯭ꯔꯤꯄꯨꯔꯥꯒꯤ
ngaap,ꯉꯥꯞ
lamchao,ꯂꯝꯆꯥꯎ
haibasisu,ꯍꯥꯢꯕꯁꯤꯁꯨ
sachik,ꯁꯥꯆꯤꯛ
sarusayangsu,ꯁꯔꯨꯁꯌꯥꯡꯁꯨ
ngasi,ꯉꯥꯁꯤ
linsingbu,ꯂꯤꯟꯁꯤꯡꯕꯨ
yanwang,ꯌꯟꯋꯥꯡ
nippon,ꯅꯤꯞꯄꯣꯟ
lamlakki,ꯂꯝꯂꯛꯀꯤ
khanglaktabadagi,ꯈꯪꯂꯛꯇꯕꯗꯒꯤ
sillam,ꯁꯤꯜꯂꯝ
napolean,ꯅꯦꯄꯣꯂꯤꯌꯟ
rhea,ꯔꯤꯌꯥ
mairen,ꯃꯥꯢꯔꯦꯟ
mangshatabam,ꯃꯪꯁꯥꯇꯥꯕꯝ
machaasinggi,ꯃꯆꯥꯁꯤꯡꯒꯤ
thamlibasi,ꯊꯝꯂꯤꯕꯁꯤ
sangdina,ꯁꯥꯡꯗꯤꯅ
seisakpinaa,ꯁꯩꯁꯛꯄꯤꯅꯥ
ellect,ꯏꯂꯦꯛ
minglensing,ꯃꯤꯡꯂꯦꯟꯁꯤꯡ
thakta,ꯊꯥꯛꯇ
humphumari,ꯍꯨꯝꯐꯨꯃꯔꯤ
sagatpa,ꯁꯥꯒꯠꯄ
mangkhaap,ꯃꯪꯈꯥꯞ
kummeigi,ꯀꯨꯝꯃꯩꯒꯤ
phajinduna,ꯐꯥꯖꯤꯟꯗꯨꯅ
mamangki,ꯃꯃꯥꯡꯀꯤ
naphamdagi,ꯅꯐꯝꯗꯒꯤ
lamja,ꯂꯝꯖꯥ
yubaraaj,ꯌꯨꯕꯔꯥꯖ
nupimachaa,ꯅꯨꯄꯤꯃꯆꯥ
sahadeva,ꯁꯍꯗꯦꯚ
laagumna,ꯂꯥꯒꯨꯝꯅ
oiringeida,ꯑꯣꯢꯔꯤꯉꯩꯗ
mapenthouni,ꯃꯄꯦꯟꯊꯧꯅꯤ
rikaadagi,ꯔꯤꯀꯥꯗꯒꯤ
thoknaa,ꯊꯣꯛꯅꯥ
saathek,ꯁꯥꯊꯦꯛ
matanggi,ꯃꯥꯇꯪꯒꯤ
sanarei,ꯁꯅꯥꯔꯩ
kupshu,ꯀꯨꯞꯁꯨ
jiribam,ꯖꯤꯔꯤꯕꯥꯝ
ichounaa,ꯏꯆꯧꯅꯥ
khuthang,ꯈꯨꯊꯥꯡ
lisanda,ꯂꯤꯁꯥꯟꯗ
ronus,ꯔꯣꯅꯁ
lekpa,ꯂꯦꯛꯄ
punsinnanaba,ꯄꯨꯟꯁꯤꯟꯅꯅꯕ
shathup,ꯁꯥꯊꯨꯞ
phiboujam,ꯐꯤꯕꯧꯖꯝ
khuttop,ꯈꯨꯇꯣꯞ
saagolban,ꯁꯥꯒꯣꯜꯕꯟ
hapkani,ꯍꯥꯞꯀꯅꯤ
leinaotapi,ꯂꯩꯅꯥꯎꯇꯥꯄꯤ
kuraangbaanga,ꯀꯨꯔꯥꯡꯕꯥꯟꯒ
laamgi,ꯂꯥꯝꯒꯤ
laisangsi,ꯂꯥꯢꯁꯪꯁꯤ
nongpoklom,ꯅꯣꯡꯄꯣꯛꯂꯣꯝ
khurumfamni,ꯈꯨꯔꯨꯝꯐꯝꯅꯤ
amphibia,ꯑꯦꯝꯐꯤꯕꯤꯌꯥ
hinachingbani,ꯍꯤꯅꯆꯤꯡꯕꯅꯤ
ayuktagina,ꯑꯌꯨꯛꯇꯒꯤꯅ
paktaknana,ꯄꯥꯛꯇꯛꯅꯅ
koupaalu,ꯀꯧꯄꯥꯂꯨ
epungloi,ꯏꯄꯨꯡꯂꯣꯢ
cholom,ꯆꯣꯂꯣꯝ
holda,ꯍꯣꯜꯗ
namthakpu,ꯅꯝꯊꯥꯛꯄꯨ
masamakni,ꯃꯁꯥꯃꯛꯅꯤ
shaktaakpham,ꯁꯛꯇꯥꯛꯐꯝ
mongpham,ꯃꯣꯡꯐꯝ
sayang,ꯁꯌꯥꯡ
sinsabada,ꯁꯤꯟꯁꯥꯕꯗ
mayaam,ꯃꯌꯥꯝ
chinglen,ꯆꯤꯡꯂꯦꯟ
houdoklami,ꯍꯧꯗꯣꯛꯂꯝꯏ
eramba,ꯏꯔꯝꯕ
taibangpaal,ꯇꯥꯢꯕꯪꯄꯥꯜ
khenchonglondadi,ꯈꯦꯟꯆꯣꯡꯂꯣꯟꯗꯗꯤ
manipurgisu,ꯃꯅꯤꯄꯨꯔꯒꯤꯁꯨ
yumwang,ꯌꯨꯝꯋꯥꯡ
langmeitong,ꯂꯥꯡꯃꯩꯇꯣꯡ
huffistus,ꯍꯐꯤꯁꯇꯁ
khallammi,ꯈꯜꯂꯝꯃꯤ
hunpa,ꯍꯨꯟꯄ
nidocyte,ꯅꯤꯗꯣꯁꯥꯢꯠ
lamchat,ꯂꯝꯆꯠ
buffett,ꯕꯐꯦꯠ
anibu,ꯑꯅꯤꯕꯨ
haatpagi,ꯍꯥꯠꯄꯒꯤ
mahut,ꯃꯍꯨꯠ
tapio,ꯇꯥꯄꯤꯑꯣ
chaothokchaba,ꯆꯥꯎꯊꯣꯛꯆꯕ
leishem,ꯂꯩꯁꯦꯝ
panlammi,ꯄꯥꯟꯂꯝꯃꯤ
pomona,ꯄꯣꯃꯣꯅꯥ
kangleipakki,ꯀꯪꯂꯩꯄꯥꯛꯀꯤ
ubaak,ꯎꯕꯥꯛ
haiduna,ꯍꯥꯢꯗꯨꯅ
surabadi,ꯁꯨꯔꯕꯗꯤ
mermaid,ꯃꯔꯃꯦꯗ
chayom,ꯆꯌꯣꯝ
ahingmitpu,ꯑꯍꯤꯡꯃꯤꯠꯄꯨ
naoboi,ꯅꯥꯎꯕꯣꯢ
fangi,ꯐꯪꯏ
apikpi,ꯑꯄꯤꯛꯄꯤ
ningthou,ꯅꯤꯡꯊꯧ
athingba,ꯑꯊꯤꯡꯕ
yukrengi,ꯌꯨꯀ꯭ꯔꯦꯟꯒꯤ
entrance,ꯑꯦꯟꯇ꯭ꯔꯥꯟ꯭ꯁ
soupam,ꯁꯧꯄꯝ
thumga,ꯊꯨꯝꯒ
bayland,ꯕꯦꯂꯦꯟ
khonghampham,ꯈꯣꯡꯍꯥꯝꯐꯝ
prokaryote,ꯄ꯭ꯔꯣꯀꯥꯔꯤꯌꯣꯠ
paang,ꯄꯥꯡ
uhanbiyu,ꯎꯍꯟꯕꯤꯌꯨ
heimaa,ꯍꯩꯃꯥ
masakti,ꯃꯁꯛꯇꯤ
faonalon,ꯐꯥꯎꯅꯂꯣꯟ
daagi,ꯗꯥꯒꯤ
manipurda,ꯃꯅꯤꯄꯨꯔꯗ
tanjada,ꯇꯥꯟꯖꯥꯗ
amangatagi,ꯑꯃꯥꯡꯑꯇꯥꯒꯤ
leitengduna,ꯂꯩꯇꯦꯡꯗꯨꯅ
mathangki,ꯃꯊꯪꯀꯤ
thaannariba,ꯊꯥꯟꯅꯔꯤꯕ
hainei,ꯍꯥꯢꯅꯩ
notocorda,ꯅꯣꯇꯣꯀꯣꯔꯗ
thambal,ꯊꯝꯕꯥꯜ
laatchaba,ꯂꯥꯠꯆꯕ
subada,ꯁꯨꯕꯗ
ngaaknanaba,ꯉꯥꯛꯅꯅꯕ
leingaklon,ꯂꯩꯉꯥꯛꯂꯣꯟ
masaannagi,ꯃꯁꯥꯟꯅꯒꯤ
sinotibetan,ꯁꯤꯅꯣꯇꯤꯕꯦꯇꯟ
sarma,ꯁꯔꯃ
sheireng,ꯁꯩꯔꯦꯡ
thouda,ꯊꯧꯗ
mapaabu,ꯃꯄꯥꯕꯨ
thinjinnaba,ꯊꯤꯟꯖꯤꯟꯅꯕ
naakenthaagi,ꯅꯥꯀꯦꯟꯊꯥꯒꯤ
phamungda,ꯐꯃꯨꯡꯗ
sheilol,ꯁꯩꯂꯣꯜ
tiruvanantapuramni,ꯇꯤꯔꯨꯚꯅꯟꯇꯄꯨꯔꯝꯅꯤ
yaanarammi,ꯌꯥꯅꯔꯝꯃꯤ
kayaasu,ꯀꯌꯥꯁꯨ
sakti,ꯁꯛꯇꯤ
phiphaagi,ꯐꯤꯐꯥꯒꯤ
waanglen,ꯋꯥꯡꯂꯦꯟ
mahasaras,ꯃꯍꯥꯁꯔꯁ
oibagi,ꯑꯣꯢꯕꯒꯤ
seithaba,ꯁꯩꯊꯥꯕ
lamlen,ꯂꯝꯂꯦꯟ
yengtunaa,ꯌꯦꯡꯇꯨꯅꯥ
chinnaba,ꯆꯤꯟꯅꯕ
panaasingna,ꯄꯅꯥꯁꯤꯡꯅ
compensationsidi,ꯀꯝꯄꯦꯟꯁꯦꯁꯟꯁꯤꯗꯤ
famlonsing,ꯐꯝꯂꯣꯟꯁꯤꯡ
ariba,ꯑꯔꯤꯕ
khongjom,ꯈꯣꯡꯖꯣꯝ
ngamage,ꯉꯃꯒꯦ
kharou,ꯈꯥꯔꯧ
hongdoklaga,ꯍꯣꯡꯗꯣꯛꯂꯒ
thangapatta,ꯊꯥꯡꯒꯄꯥꯠꯇ
paaksanna,ꯄꯥꯛꯁꯟꯅ
chalhankhi,ꯆꯜꯍꯟꯈꯤ
ritki,ꯔꯤꯠꯀꯤ
kumheini,ꯀꯨꯝꯍꯩꯅꯤ
yaabagi,ꯌꯥꯕꯒꯤ
taret,ꯇꯔꯦꯠ
mariphutaramanga,ꯃꯔꯤꯐꯨꯇꯔꯥꯃꯉꯥ
blockchain,ꯕ꯭ꯂꯣꯛꯆꯦꯟ
waanglei,ꯋꯥꯡꯂꯩ
pathaap,ꯄꯊꯥꯞ
awabasi,ꯑꯋꯥꯕꯁꯤ
pandamni,ꯄꯥꯟꯗꯝꯅꯤ
sanaamahigi,ꯁꯅꯥꯃꯍꯤꯒꯤ
khullakpigi,ꯈꯨꯜꯂꯥꯛꯄꯤꯒꯤ
tivigi,ꯇꯤꯚꯤꯒꯤ
toudaba,ꯇꯧꯗꯕ
ukhidre,ꯎꯈꯤꯗ꯭ꯔꯦ
masjida,ꯃꯁꯖꯤꯗ
kangfalda,ꯀꯪꯐꯥꯜꯗ
amaniamasung,ꯑꯃꯅꯤꯑꯃꯁꯨꯡ
kainou,ꯀꯥꯢꯅꯧ
maruda,ꯃꯔꯨꯗ
welshki,ꯋꯦꯜꯁꯀꯤ
tengbanglakpa,ꯇꯦꯡꯕꯥꯡꯂꯛꯄ
kaus,ꯀꯥꯎꯁ
anhur,ꯑꯟꯍꯨꯔ
chitrangada,ꯆꯤꯇ꯭ꯔꯪꯒꯗꯥ
iduna,ꯏꯗꯨꯅ
yabi,ꯌꯥꯕꯤ
ninphung,ꯅꯤꯟꯐꯨꯡ
laari,ꯂꯥꯔꯤ
pakhatmanduna,ꯄꯥꯈꯠꯃꯟꯗꯨꯅ
tounadunaa,ꯇꯧꯅꯗꯨꯅꯥ
kangphaal,ꯀꯪꯐꯥꯜ
phusi,ꯐꯨꯁꯤ
senbiba,ꯁꯦꯟꯕꯤꯕ
krishnadasna,ꯀ꯭ꯔꯤꯁꯅꯗꯥꯁꯅ
laphurit,ꯂꯐꯨꯔꯤꯠ
chapchaba,ꯆꯞꯆꯥꯕ
touram,ꯇꯧꯔꯝ
taakhel,ꯇꯥꯈꯦꯜ
thambalgi,ꯊꯝꯕꯥꯜꯒꯤ
saageida,ꯁꯥꯒꯩꯗ
leikhidabada,ꯂꯩꯈꯤꯗꯕꯗ
chernobylgi,ꯆꯦꯔꯅꯣꯕꯜꯒꯤ
turelsing,ꯇꯨꯔꯦꯜꯁꯤꯡ
khudingmak,ꯈꯨꯗꯤꯡꯃꯛ
waheipareng,ꯋꯥꯍꯩꯄꯔꯦꯡ
chusinnaba,ꯆꯨꯁꯤꯟꯅꯕ
lisaanda,ꯂꯤꯁꯥꯟꯗ
warriers,ꯋꯥꯔꯤꯌꯔꯁ
likei,ꯂꯤꯀꯩ
hakchaanggi,ꯍꯛꯆꯥꯡꯒꯤ
sijinnaloi,ꯁꯤꯖꯤꯟꯅꯂꯣꯢ
chamamnahalli,ꯆꯃꯝꯅꯍꯜꯂꯤ
lakhat,ꯂꯥꯈꯥꯠ
hotnakhi,ꯍꯣꯠꯅꯈꯤ
waasingga,ꯋꯥꯁꯤꯡꯒ
animakta,ꯑꯅꯤꯃꯛꯇ
maliyapham,ꯃꯥꯂꯤꯌꯥꯐꯝ
waridagi,ꯋꯥꯔꯤꯗꯒꯤ
sibabu,ꯁꯤꯕꯕꯨ
machaasingdi,ꯃꯆꯥꯁꯤꯡꯗꯤ
perseusna,ꯄꯔꯁꯤꯌꯁꯅ
uranusna,ꯌꯨꯔꯥꯅꯁꯅ
hellenic,ꯍꯦꯜꯂꯦꯅꯤꯛ
ngasigidi,ꯉꯁꯤꯒꯤꯗꯤ
kharana,ꯈꯔꯅ
yengthibasingna,ꯌꯦꯡꯊꯤꯕꯁꯤꯡꯅ
helios,ꯍꯦꯂꯤꯌꯣꯁ
sharangthem,ꯁꯔꯥꯡꯊꯦꯝ
humphutara,ꯍꯨꯝꯐꯨꯇꯔꯥ
tekna,ꯇꯦꯛꯅ
moilangda,ꯃꯣꯢꯂꯥꯡꯒꯤ
sijinnarambaa,ꯁꯤꯖꯤꯟꯅꯔꯝꯕꯥ
washim,ꯋꯁꯤꯝ
mikhal,ꯃꯤꯈꯜ
meihouroldagi,ꯃꯩꯍꯧꯔꯣꯜꯗꯒꯤ
laoba,ꯂꯥꯎꯕ
hotnabadaa,ꯍꯣꯠꯅꯕꯗꯥ
laapna,ꯂꯥꯞꯅ
sitagi,ꯁꯤꯇꯥꯒꯤ
onsinduna,ꯑꯣꯟꯁꯤꯟꯗꯨꯅ
musician,ꯃ꯭ꯌꯨꯖꯤꯁꯤꯌꯥꯟ
maputhouni,ꯃꯄꯨꯊꯧꯅꯤ
ransium,ꯔꯥꯟꯁꯤꯌꯝ
enaatki,ꯏꯅꯥꯠꯀꯤ
maduda,ꯃꯗꯨꯗ
chichiro,ꯆꯤꯆꯤꯔꯣ
thaaktagi,ꯊꯥꯛꯇꯒꯤ
sawombungda,ꯁꯋꯣꯝꯕꯨꯡꯗ
paangthokkani,ꯄꯥꯡꯊꯣꯛꯀꯅꯤ
pikkhraba,ꯄꯤꯛꯈ꯭ꯔꯕ
khongbuda,ꯈꯣꯡꯕꯨꯗ
meethikel,ꯃꯤꯊꯤꯀꯦꯜ
singki,ꯁꯤꯡꯀꯤ
yaaribasing,ꯌꯥꯔꯤꯕꯁꯤꯡ
khuntaakpa,ꯈꯨꯟꯇꯥꯛꯄ
leilampa,ꯂꯩꯂꯝꯄ
shakkhangkhi,ꯁꯛꯈꯪꯈꯤ
phungawarisinggi,ꯐꯨꯡꯒꯥꯋꯥꯔꯤꯁꯤꯡꯒꯤ
machanupani,ꯃꯆꯥꯅꯨꯄꯥꯅꯤ
lamdasu,ꯂꯝꯗꯁꯨ
chingmee,ꯆꯤꯡꯃꯤ
paaktharaga,ꯄꯥꯛꯊꯔꯒ
phangngi,ꯐꯪꯉꯤ
mingsennachingbani,ꯃꯤꯡꯁꯦꯟꯅꯆꯤꯡꯕꯅꯤ
komthokkhi,ꯀꯣꯝꯊꯣꯛꯈꯤ
meesingnaa,ꯃꯤꯁꯤꯡꯅꯥ
maruoiba,ꯃꯔꯨꯑꯣꯢꯕ
parenchyma,ꯄꯔꯦꯟꯀꯥꯢꯃꯥ
repore,ꯔꯤꯄꯣꯔ
animaliagi,ꯑꯦꯅꯤꯃꯦꯂꯤꯌꯥꯒꯤ
elaatchapa,ꯏꯂꯥꯠꯆꯄ
samjinnare,ꯁꯝꯖꯤꯟꯅꯔꯦ
lamdamsina,ꯂꯝꯗꯝꯁꯤꯅ
tingi,ꯇꯤꯟꯒꯤ
birbhadra,ꯕꯤꯔꯚꯗ꯭ꯔ
phahanbada,ꯐꯍꯟꯕꯗ
lotpa,ꯂꯣꯠꯄ
mapali,ꯃꯄꯥꯂꯤ
pungning,ꯄꯨꯡꯅꯤꯡ
manjunatha,ꯃꯟꯖꯨꯅꯥꯊ
konsilli,ꯀꯣꯟꯁꯤꯜꯂꯤ
rafel,ꯔꯐꯦꯜ
pothaphamda,ꯄꯣꯊꯥꯐꯝꯗ
thenglaga,ꯊꯦꯡꯂꯒ
waasudewa,ꯋꯥꯁꯨꯗꯦꯋ
athoukhong,ꯑꯊꯧꯈꯣꯡ
huwanggi,ꯍꯨꯋꯥꯡꯒꯤ
waarep,ꯋꯥꯔꯦꯞ
udisha,ꯎꯗꯤꯁꯥ
fagathannanabagidamak,ꯐꯒꯠꯍꯟꯅꯅꯕꯒꯤꯗꯃꯛ
heirabadi,ꯍꯩꯔꯕꯗꯤ
kumheinaa,ꯀꯨꯝꯍꯩꯅꯥ
paambibu,ꯄꯥꯝꯕꯤꯕꯨ
chaannaraba,ꯆꯥꯟꯅꯔꯕ
akhaak,ꯑꯈꯥꯛ
engba,ꯏꯪꯕ
ngambapot,ꯉꯝꯕꯄꯣꯠ
dakotagi,ꯗꯀꯣꯇꯥꯒꯤ
khourangba,ꯈꯧꯔꯥꯡꯕ
saakonnaba,ꯁꯥꯀꯣꯟꯅꯕ
cantonese,ꯀꯦꯟꯇꯣꯅꯤꯁ
pithrai,ꯄꯤꯊ꯭ꯔꯥꯢ
langbaga,ꯂꯥꯡꯕꯒ
akanpa,ꯑꯀꯟꯄ
naarengbam,ꯅꯥꯔꯦꯡꯕꯝ
yaonarakli,ꯌꯥꯎꯅꯔꯛꯂꯤ
uwaagi,ꯎꯋꯥꯒꯤ
enaat,ꯏꯅꯥꯠ
amun,ꯑꯃꯨꯟ
charona,ꯆꯥꯔꯣꯅ
dubnium,ꯗꯨꯕꯅꯤꯌꯝ
asteria,ꯑꯦꯁꯇꯦꯔꯤꯌꯥ
kayaamaromsu,ꯀꯌꯥꯃꯔꯣꯝꯁꯨ
chikpaga,ꯆꯤꯛꯄꯒ
thamlambaa,ꯊꯝꯂꯝꯕꯥ
kakchingdagini,ꯀꯛꯆꯤꯡꯗꯒꯤꯅꯤ
lannad,ꯂꯟꯅꯥꯗ
yabagi,ꯌꯥꯕꯒꯤ
phampaalchaa,ꯐꯝꯄꯥꯜꯆꯥ
koligi,ꯀꯣꯂꯤꯒꯤ
waaraki,ꯋꯥꯔꯛꯏ
leini,ꯂꯩꯅꯤ
natta,ꯅꯠꯇ
chandabindu,ꯆꯥꯟꯗꯕꯤꯟꯗꯨ
recersta,ꯔꯤꯁꯔꯁꯇ
koue,ꯀꯧꯑꯦ
luhongba,ꯂꯨꯍꯣꯡꯕ
shagolgi,ꯁꯒꯣꯜꯒꯤ
thongam,ꯊꯣꯡꯉꯥꯝ
qatargi,ꯀꯥꯇꯥꯔꯒꯤ
wabu,ꯋꯥꯕꯨ
kayamarumgi,ꯀꯌꯥꯃꯔꯨꯝꯒꯤ
citisuni,ꯁꯤꯇꯤꯁꯨꯅꯤ
lorin,ꯂꯣꯔꯤꯟ
ipom,ꯏꯄꯣꯝ
fairel,ꯐꯥꯢꯔꯦꯜ
saionni,ꯁꯥꯢꯑꯣꯟꯅꯤ
famthonsinggi,ꯐꯝꯊꯣꯟꯁꯤꯡꯒꯤ
pakhatli,ꯄꯥꯈꯠꯂꯤ
mariphutaramari,ꯃꯔꯤꯐꯨꯇꯔꯥꯃꯔꯤ
lonchat,ꯂꯣꯟꯆꯠ
chingngi,ꯆꯤꯡꯉꯤ
dhakagi,ꯙꯥꯀꯥꯒꯤ
seithaa,ꯁꯩꯊꯥ
ngamkhi,ꯉꯝꯈꯤ
chaoba,ꯆꯥꯎꯕ
khongchatki,ꯈꯣꯡꯆꯠꯀꯤ
dangleipaakta,ꯗꯪꯂꯩꯄꯥꯛꯇ
saakonnapa,ꯁꯥꯀꯣꯟꯅꯄ
yaopa,ꯌꯥꯎꯄ
parotokol,ꯄꯔꯣꯇꯣꯀꯣꯜ
erai,ꯏꯔꯥꯢ
jilendagi,ꯖꯤꯂꯦꯟꯗꯒꯤ
radiationgi,ꯔꯦꯗꯤꯌꯦꯁꯟꯒꯤ
amagum,ꯑꯃꯒꯨꯝ
suhanle,ꯁꯨꯍꯟꯂꯦ
indiski,ꯏꯟꯗꯤꯁꯀꯤ
adudaa,ꯑꯗꯨꯗꯥ
liklai,ꯂꯤꯛꯂꯥꯢ
keithellakpam,ꯀꯩꯊꯦꯜꯂꯥꯛꯄꯝ
leedagi,ꯂꯤꯗꯒꯤ
engduna,ꯏꯪꯗꯨꯅ
yaangkheitaruk,ꯌꯥꯡꯈꯩꯇꯔꯨꯛ
puyada,ꯄꯨꯌꯥꯗ
ningsa,ꯅꯤꯡꯁꯥ
yuos,ꯌꯨꯑꯣꯁ
angaanghalgi,ꯑꯉꯥꯡꯍꯜꯒꯤ
laihui,ꯂꯥꯢꯍꯨꯢ
kunnipan,ꯀꯨꯟꯅꯤꯄꯥꯟ
mingthonkhi,ꯃꯤꯡꯊꯣꯟꯈꯤ
waaheisina,ꯋꯥꯍꯩꯁꯤꯅ
semgatkhraba,ꯁꯦꯝꯒꯠꯈ꯭ꯔꯕ
langkhiba,ꯂꯥꯡꯈꯤꯕ
ngaki,ꯉꯥꯛꯏ
khorilondagi,ꯈꯣꯔꯤꯂꯣꯟꯗꯒꯤ
thugaikhi,ꯊꯨꯒꯥꯢꯈꯤ
jagoi,ꯖꯒꯣꯢ
laisangni,ꯂꯥꯢꯁꯪꯅꯤ
haattoki,ꯍꯥꯠꯇꯣꯛꯏ
mathantani,ꯃꯊꯟꯇꯅꯤ
singgi,ꯁꯤꯡꯒꯤ
ortez,ꯑꯣꯔꯇꯦꯓ
tamhanduna,ꯇꯝꯍꯟꯗꯨꯅ
khongchatni,ꯈꯣꯡꯆꯠꯅꯤ
salacia,ꯁꯦꯂꯥꯁꯤꯌꯥ
kakcheng,ꯀꯥꯛꯆꯦꯡ
laanmeesinggi,ꯂꯥꯟꯃꯤꯁꯤꯡꯒꯤ
chopragi,ꯆꯣꯄ꯭ꯔꯥꯒꯤ
mingkou,ꯃꯤꯡꯀꯧ
iyek,ꯏꯌꯦꯛ
iratpa,ꯏꯔꯥꯠꯄ
lengmannaba,ꯂꯦꯡꯃꯥꯟꯅꯕ
nonggangheido,ꯅꯣꯡꯒꯥꯡꯍꯩꯗꯣ
aphao,ꯑꯐꯥꯎ
naijaragasu,ꯅꯥꯢꯖꯔꯒꯁꯨ
meethoi,ꯃꯤꯊꯣꯢ
tadaba,ꯇꯥꯗꯕ
khongkhi,ꯇꯣꯡꯈꯤ
kaihanbi,ꯀꯥꯢꯍꯟꯕꯤ
talangba,ꯇꯥꯂꯪꯕ
kolou,ꯀꯣꯂꯧ
potthaapham,ꯄꯣꯠꯊꯥꯐꯝ
hatlunaba,ꯍꯥꯠꯂꯨꯅꯕ
leikanglasingdagi,ꯂꯩꯀꯪꯂꯥꯁꯤꯡꯗꯒꯤ
leiminnaba,ꯂꯩꯃꯤꯟꯅꯕ
mirep,ꯃꯤꯔꯦꯞ
taibangpalbu,ꯇꯥꯢꯕꯪꯄꯥꯜꯕꯨ
mamai,ꯃꯃꯥꯢ
numitsibu,ꯅꯨꯃꯤꯠꯁꯤꯕꯨ
machaibungngo,ꯃꯆꯥꯏꯕꯨꯡꯉꯣ
pokpada,ꯄꯣꯛꯄꯗ
laitonjam,ꯂꯥꯢꯇꯣꯟꯖꯝ
koptagi,ꯀꯣꯞꯇꯒꯤ
wangpulel,ꯋꯥꯡꯄꯨꯂꯦꯜ
thangjin,ꯊꯥꯡꯖꯤꯟ
romatheum,ꯔꯣꯃꯦꯊꯤꯌꯝ
khallaka,ꯈꯜꯂꯀ
meeteilonda,ꯃꯤꯇꯩꯂꯣꯟꯗ
nongsaa,ꯅꯣꯡꯁꯥ
raajil,ꯔꯥꯖꯤꯜ
khomjillammi,ꯈꯣꯝꯖꯤꯜꯂꯝꯃꯤ
tarataret,ꯇꯔꯥꯇꯔꯦꯠ
philipin,ꯐꯤꯂꯤꯄꯤꯟ
leinei,ꯂꯩꯅꯩ
mataangpu,ꯃꯇꯥꯡꯄꯨ
onbagi,ꯑꯣꯟꯕꯒꯤ
mangaldi,ꯃꯉꯥꯜꯗꯤ
thoku,ꯊꯣꯛꯎ
jahiruddin,ꯖꯍꯤꯔꯔꯨꯗꯗꯤꯟ
salailel,ꯁꯂꯥꯢꯂꯦꯜ
pashupati,ꯄꯁꯨꯄꯇꯤ
koibana,ꯀꯣꯢꯕꯅ
satkairakpagi,ꯁꯥꯠꯀꯥꯢꯔꯛꯄꯒꯤ
