uthithanti,ଉଠିଥାଆନ୍ତି
dabipurana,ଦାବିପୂରଣ
brahmanipalara,ବ୍ରାହ୍ମଣୀପାଳର
bhyana,ଭ୍ୟାନ
darshanapare,ଦର୍ଶନପରେ
trideep,ତ୍ରିଦୀପ
starhas,ଷ୍ଟାରହାସ
bajpura,ବାଜପୁରା
hizbullah,ହିଜବୁଲ୍ଲା
jalajanita,ଜଳଜନିତ
ehakebe,ଏହାକେବେ
aakhuchasheemananku,ଆଖୁଚାଷୀମାନଙ୍କୁ
shafinankara,ଶଫୀନଙ୍କର
lalremasanaganku,ଲାଲରେମସାନଗାଙ୍କୁ
leute,ଲେଉଟେ
jagyakunda,ଯଜ୍ଞକୁଣ୍ଡ
aabenkara,ଆବେଙ୍କର
solidariti,ସୋଲିଡାରିଟି
regieg,ରେଜିଗ୍
buhajaichhi,ବୁହାଯାଇଛି
jogeeneenka,ଯୋଗୀନୀଙ୍କ
shikheibare,ଶିଖେଇବାରେ
bhabapreeti,ଭାବପ୍ରୀତି
jedaban,ଜେଦବାନ
satwadhikareenku,ସତ୍ତ୍ୱାଧିକାରୀଙ୍କୁ
disheni,ଦିଶେନି
thodam,ଥୋଡାମ୍
keniz,କେନିଜ
bandri,ବନ୍ଦ୍ରି
nalagunthi,ନାଲାଗୁଣ୍ଠି
badhunathile,ବଢୁନଥିଲେ
gadichalithae,ଗଡିଚାଲିଥାଏ
puntia,ପୁଣ୍ଟିଆ
dinakaran,ଦିନକରନ
bhunjia,ଭୁଞ୍ଜିଆ
chhadinahanti,ଛାଡ଼ିନାହାନ୍ତି
sterilise,ଷ୍ଟେରିଲାଇଜ
prayogati,ପ୍ରୟୋଗଟି
jathamanya,ଯଥାମାନ୍ୟ
officialanku,ଅଫିସିଆଲଙ୍କୁ
nuapallire,ନୂଆପଲ୍ଲୀରେ
maodampati,ମାଓଦମ୍ପତି
melichalichhanti,ମେଲିଚାଲିଛନ୍ତି
taratamyare,ତାରତମ୍ୟରେ
sherawalinka,ଶେରାୱାଲିଙ୍କ
chinmayanku,ଚିନ୍ମୟଙ୍କୁ
usakaithanti,ଉସକାଇଥାନ୍ତି
piuseeku,ପିଉସୀକୁ
natinghamasthita,ନଟିଂହାମସ୍ଥିତ
sikhyapradana,ଶିକ୍ଷାପ୍ରଦାନ
rajakeeyakruta,ରାଜକୀୟକୃତ
somadebanka,ସୋମଦେବଙ୍କ
kulinda,କୁଲିଣ୍ଡା
parbateeku,ପାର୍ବତୀକୁ
dhanua,ଧାନୁଆ
smeltarare,ସ୍ମେଲ୍ଟରରେ
hoiehi,ହୋଇଏହି
odiabhashimane,ଓଡ଼ିଆଭାଷୀମାନେ
ezukesyunal,ଏଜୁକେସ୍ୟୁନାଲ
mindol,ମିଣ୍ଡୋଳ
katingadihi,କଟିଙ୍ଗଡିହି
srisaibaba,ଶ୍ରୀସାଇବାବା
physiopherapy,ଫିଜିଓଫେରାପି
rapel,ରାପେଲ୍
domchanch,ଦୋମଚାଞ୍ଚ
trl,ଟିଆରଏଲ
manuthibara,ମାନୁଥିବାର
purnasahu,ପୂର୍ଣ୍ଣସାହୁ
papakarma,ପାପକର୍ମ
dehej,ଦେହେଜ୍
narayanare,ନାରାୟଣରେ
aageijaichi,ଆଗେଇଯାଇଛି
daetingru,ଡାଏଟିଂରୁ
philipino,ଫିଲିପିନୋ
nikolay,ନିକୋଲାଇ
jamapadichi,ଜମାପଡିଛି
swarthaparara,ସ୍ୱାର୍ଥପରର
putasing,ପୁଟାସିଂ
relachalakanka,ରେଳଚାଳକଙ୍କ
bigidithiba,ବିଗିଡ଼ିଥିବା
madauchhi,ମଡାଉଛି
beshya,ବେଶ୍ୟା
datanku,ଦାତାଙ୍କୁ
khatijibahin,ଖଟିଯିବାହିଁ
batamarana,ବାଟମାରଣ
thakurnagarare,ଠାକୁରନଗରରେ
cameragudiku,କ୍ୟାମେରାଗୁଡିକୁ
dharmapan,ଧର୍ମପନ
dainadinara,ଦୈନଦିନର
rubir,ରୁବୀର
tumusingha,ତୁମୁସିଂହା
rahebara,ରହେବାର
gyanabanta,ଜ୍ଞାନବନ୍ତ
prajjala,ପ୍ରଜ୍ଜଳ
phutiki,ଫୁଟିକି
chandragiritharu,ଚନ୍ଦ୍ରଗିରିଠାରୁ
talabhanga,ତାଳଭଙ୍ଗ
mamun,ମାମୁନ
saharatharu,ସହରଠାରୁ
entudishalare,ଏନ୍ତୁଡିଶାଳରେ
judhakaribaku,ଯୁଦ୍ଧକରିବାକୁ
pratiposhana,ପ୍ରତିପୋଷଣ
drome,ଡ୍ରୋମ୍
dudu,ଡୁଡୁ
semparkare,ସେମ୍ପର୍କରେ
gabeshakankara,ଗବେଷକଙ୍କର
atobalanku,ଅଟୋବାଲାଙ୍କୁ
etharamadhya,ଏଥରମଧ୍ୟ
jiophone,ଜିଓଫୋନ
humanare,ହ୍ୟୁମାନରେ
ends,ଇଏନଡିଏସ
maninahanti,ମାନିନାହାନ୍ତି
kalimara,କାଳିମାର
pretyakaka,ପ୍ରେତ୍ୟକକ
nuabajarastha,ନୂଆବଜାରସ୍ଥ
jhiapain,ଝିଅପାଇଁ
jougikastara,ଯୌଗିକସ୍ତର
padicha,ପଡ଼ିଛ
blais,ବ୍ଲେସ
jmm,ଜେଏମ୍ଏମ
pmmy,ପିଏମଏମୱାଇ
ekatrikarana,ଏକତ୍ରିକରଣ
uthithau,ଉଠିଥାଉ
mrutagouraba,ମୃତଗୌରବ
smashasanare,ସ୍ମଶାସନରେ
ayalanda,ଆୟଲାଣ୍ଡ
parikhyarthira,ପରୀକ୍ଷାର୍ଥୀର
baishistha,ବୈଶିଷ୍ଠ
parakhila,ପରଖିଲା
gotaithiba,ଗୋଟାଇଥିବା
kamitire,କମିଟିରେ
chaulathu,ଚାଉଳଠୁ
jaasi,ଜାସି
ribhiu,ରିଭିଉ
sijuathare,ସିଜୁଆଠାରେ
pathuriaare,ପଥୁରିଆରେ
reenanku,ରୀନାଙ୍କୁ
arbind,ଅରବିନ୍ଦ୍
shujhajaithila,ଶୁଝାଯାଇଥିଲା
kushawahanku,କୁଶୱାହଙ୍କୁ
ratnar,ରତ୍ନାର
jaithababele,ଯାଇଥବାବେଳେ
ishwarabiswasi,ଇଶ୍ୱରବିଶ୍ୱାସୀ
panchubarahinku,ପଞ୍ଚୁବରାହୀଙ୍କୁ
bhayakaruchhanti,ଭୟକରୁଛନ୍ତି
tronic,ଟ୍ରୋନିକ
sebajoganare,ସେବାଯୋଗାଣରେ
pramananka,ପ୍ରମାଣଙ୍କ
sarakarabele,ସରକାରବେଳେ
muthun,ମୁଥୁନ
dhenkishalare,ଢେଙ୍କିଶାଳରେ
nalco,ନାଲ୍କୋ
simulia,ସିମୁଳିଆ
chemestryku,କେମେଷ୍ଟ୍ରିକୁ
ammers,ଆମର୍ସ
lokadrusti,ଲୋକଦୃଷ୍ଟି
kamarupa,କାମରୂପା
geetagobindare,ଗୀତଗୋବିନ୍ଦରେ
banander,ବନନ୍ଦର
anibarjyata,ଅନିବାର୍ଯ୍ୟତା
momotanka,ମୋମୋତାଙ୍କ
goretti,ଗୋରେଟୀ
henka,ହେଙ୍କ
dubuchhi,ଡୁବୁଛି
letasenga,ଲେଟସେଙ୍ଗ
bluefin,ବ୍ଲୁଫିନ୍
biskutaku,ବିଷ୍କୁଟକୁ
badhibaru,ବାଢିବାରୁ
magadh,ମଗଧ
kalyaninagarare,କଲ୍ୟାଣୀନଗରରେ
spiritre,ସ୍ପିରିଟ୍ରେ
baunshati,ବାଉଁଶଟି
bikashamukhi,ବିକାଶମୁଖି
jeningasa,ଜେନିଙ୍ଗସ
kyapaku,କ୍ୟାପକୁ
sishudibasa,ଶିଶୁଦିବସ
dangagola,ଦଙ୍ଗାଗୋଳ
asithante,ଆସିଥାନ୍ତେ
selaku,ସେଲକୁ
byabaharaka,ବ୍ୟବହାରକ
sarbajaninatara,ସାର୍ବଜନୀନତାର
bargikarana,ବର୍ଗିକରଣ
sabubarganku,ସବୁବର୍ଗଙ୍କୁ
sabarimala,ଶାବରିମାଳା
metadata,ମେଟାଡ଼ାଟା
kayinanka,କୟିନଙ୍କ
bedikanka,ବେଦିକାଙ୍କ
kirtishalini,କୀର୍ତ୍ତିଶାଳିନୀ
baidhamapa,ବୈଧମାପ
shikoka,ଶିକୋକା
khandadharare,ଖଣ୍ଡାଧାରରେ
upekhi,ଉପେକ୍ଷି
spondylitis,ସ୍ପଂଡିଲାଇଟିସ
bandhibadwara,ବାନ୍ଧିବାଦ୍ୱାରା
ponare,ପୋନରେ
hajijaini,ହଜିଯାଇନି
naraajare,ନରାଜରେ
benibhuja,ବେନିଭୂଜ
cabre,କ୍ୟାବ୍ରେ
bhubaneswarare,ଭୁବନେଶ୍ବରରେ
pitihoichhi,ପିଟିହୋଇଛି
physiothorapy,ଫିଜିଓଥୋରାପି
pitibapare,ପିଟିବାପରେ
adhyapakamananku,ଅଧ୍ୟାପକମାନଙ୍କୁ
sachetita,ସଚେତିତ
traibrekare,ଟ୍ରାଇବ୍ରେକରେ
niskasita,ନିସ୍କାସିତ
sheshlipi,ଶେଷଲିପି
chhadiparilani,ଛାଡ଼ିପାରିଲାନି
nidaku,ନିଦକୁ
karaidele,କରାଇଦେଲେ
jibaji,ଜିବାଜୀ
snattakottara,ସ୍ନାତ୍ତକୋତ୍ତର
muhainbe,ମୁହାଁଇବେ
basudeban,ବାସୁଦେବନ୍
pakhapadosheenku,ପାଖପଡୋଶୀଙ୍କୁ
byabasayeejananka,ବ୍ୟବସାୟୀଜଣଙ୍କ
thakaruranka,ଠାକରୁରଙ୍କ
naksare,ନକ୍ସାରେ
atitheyatare,ଅତିଥେୟତାରେ
ehanka,ଏହାଙ୍କ
shibgiri,ଶିବଗିରି
barshaki,ବର୍ଷକୀ
nuapadaku,ନୂଆପଡ଼ାକୁ
ratnamelire,ରତ୍ନମେଳିରେ
darakhastakari,ଦରଖାସ୍ତକରି
yashodanandan,ଯଶୋଦାନନ୍ଦନ
tripti,ତୃପ୍ତି
mahohar,ମହୋହର
gruhaswamee,ଗୃହସ୍ୱାମୀ
salian,ସାଲିଆନ୍
shreebaishnaba,ଶ୍ରୀବୈଷ୍ଣବ
panipaip,ପାଣିପାଇପ୍
asaduzzaman,ଅସାଦୁଜାମନ
khelijaithae,ଖେଳିଯାଇଥାଏ
pujakarma,ପୂଜାକର୍ମ
andashu,ଅନ୍ଦାଶୁ
pratidwanditaru,ପ୍ରତିଦ୍ୱନ୍ଦିତାରୁ
bilb,ବିଲ୍ବ
taldanda,ତାଲଦଣ୍ଡା
ejyukutiv,ଏଜ୍ୟୁକୁଟିଭ୍
bidralayare,ବିଦ୍ରାଳୟରେ
bija,ବିଜ
sandhyakalare,ସନ୍ଧ୍ୟାକାଳରେ
samparkapain,ସଂପର୍କପାଇଁ
mesinarira,ମେସିନାରିର
rajarahatasthita,ରାଜରହାଟସ୍ଥିତ
canyon,କାନୟୋନ
dalajitanka,ଦଲଜିତଙ୍କ
raigodare,ରାଇଗୋଡ଼ାରେ
swantratra,ସ୍ୱନ୍ତ୍ରତ୍ର
jhajharianku,ଝାଝାରିଆଙ୍କୁ
ullanghanareenka,ଉଲ୍ଲଙ୍ଘନାରୀଙ୍କ
wasingmesinare,ୱାସିଂମେସିନରେ
chakunda,ଚାକୁନ୍ଦା
badhapapta,ବାଧାପାପ୍ତ
dwararajyara,ଦ୍ୱାରାରାଜ୍ୟର
kiut,କିଉଟ୍
sampadakankatharu,ସମ୍ପାଦକଙ୍କଠାରୁ
thibabhali,ଥିବାଭଳି
tolilu,ତୋଳିଲୁ
ibhe,ଇଭେ
bobde,ବୋବଡେ
synthil,ସିନ୍ଥିଲ
swarnamandira,ସ୍ୱର୍ଣ୍ଣମନ୍ଦିର
bisharada,ବିଶାରଦ
badaluthila,ବଦଳୁଥିଲା
tempered,ଟେମ୍ପର୍ଡ
sesaranku,ସେସରଙ୍କୁ
maujpur,ମୌଜପୁର
samarthyajukta,ସାମର୍ଥ୍ୟଯୁକ୍ତ
shanibararu,ଶନିବାରରୁ
karanka,କାରଙ୍କ
bandung,ବାନ୍ଦୁଂ
agastinka,ଅଗସ୍ତିଙ୍କ
westabengalaru,ୱେଷ୍ଟବେଙ୍ଗଲରୁ
dwepanchalaru,ଦ୍ୱୀପାଂଚଳରୁ
bharikari,ଭରିକରି
maminanku,ମାମିନାଙ୍କୁ
wasingtonre,ୱାସିଂଟନରେ
hajurare,ହଜୁରରେ
chaduthiba,ଛାଡୁଥିବା
lorel,ଲୋରେଲ୍
rajyastareeyamancha,ରାଜ୍ୟସ୍ତରୀୟମଂଚ
krutamastakanjalima,କୃତମସ୍ତକାଂଜଲିମ
kristamasaku,କ୍ରୀଷ୍ଟମାସକୁ
gopalapuraku,ଗୋପାଳପୁରକୁ
soumabha,ସୌମଭ
sonamargare,ସୋନମାର୍ଗରେ
aakheithiba,ଆଖେଇଥିବା
purijilla,ପୁରିଜିଲ୍ଲା
bhalapareekhya,ଭଲପରୀକ୍ଷା
gruhakarya,ଗୃହକାର୍ୟ୍ୟ
dekhaucha,ଦେଖାଉଛ
badabhaipaniaa,ବଡଭାଇପଣିଆ
parimanaru,ପରିମାଣରୁ
dahganjare,ଦହଗଞ୍ଜରେ
guruh,ଗୁରୁଃ
rajaswara,ରାଜସ୍ୱର
almex,ଆଲ୍ମେକ୍ସ
mukulinathiba,ମୁକୁଳିନଥିବା
sentanka,ସେଣ୍ଟଙ୍କ
rastramukhyamane,ରାଷ୍ଟ୍ରମୁଖ୍ୟମାନେ
fancy,ଫାନ୍ସି
gharakhandie,ଘରଖଣ୍ଡିଏ
tempure,ଟେମ୍ପୁରେ
dhanakrayara,ଧାନକ୍ରୟର
ludhuni,ଲୁଧୁନି
biolet,ବାୟଲେଟ୍
kuarira,କୁଆରୀର
kendrantreenka,କେନ୍ଦ୍ରନ୍ତ୍ରୀଙ୍କ
prabhudata,ପ୍ରଭୁଦତ
shikhyaupare,ଶିକ୍ଷାଉପରେ
nrutyashilpibrunda,ନୃତ୍ୟଶିଳ୍ପୀବୃନ୍ଦ
bhandaragharia,ଭଣ୍ଡାରଘରିଆ
sthabira,ସ୍ଥବିର
landmine,ଲାଣ୍ଡମାଇନ୍
banchiparila,ବଂଚିପାରିଲା
asangbaidhanika,ଅସଂବୈଧାନିକ
aamalagi,ଆମଲାଗି
bikramasinghe,ବିକ୍ରମସିଂହେ
pushpachakra,ପୁଷ୍ପଚକ୍ର
sunashankha,ସୁନାଶଙ୍ଖ
ihudi,ଇହୁଦି
obharabrijre,ଓଭରବ୍ରିଜ୍ରେ
lusira,ଲୁସିର
palanaposhana,ପାଳନପୋଷଣ
kamparu,କମ୍ପରୁ
kendughatibasi,କେନ୍ଦୁଘାଟିବାସୀ
swetachandana,ଶ୍ୱେତଚନ୍ଦନ
ashokajharaku,ଅଶୋକଝରକୁ
gandapada,ଗଣ୍ଡପଡା
daptararaku,ଦପ୍ତରରକୁ
kantamalaru,କଣ୍ଟାମାଳରୁ
manamotabaka,ମନମୋତାବକ
sambalabana,ସମ୍ବଳବାନ
bulagoru,ବୁଲାଗୋରୁ
sansadeeyakhetra,ସଂସଦୀୟକ୍ଷେତ୍ର
pechakasa,ପେଚକସ
gereka,ଗେରେକ
gramarasudarshana,ଗ୍ରାମରସୁଦର୍ଶନ
mankading,ମାଙ୍କଡିଂ
roopajeebeemane,ରୂପଜୀବୀମାନେ
kholajaunathibaru,ଖୋଲାଯାଉନଥିବାରୁ
rshamaku,ର୍ଶମାକୁ
nutya,ନୁତ୍ୟ
purachi,ପୁରାଚି
paichalithibe,ପାଇଚାଲିଥିବେ
hueti,ହୁଏତି
jahakachhi,ଯାହାକଛି
akasharalaksham,ଅକ୍ଷରାଲକ୍ଷମ
janmabele,ଜନ୍ମବେଳେ
jiraku,ଜିରାକୁ
belachire,ବେଲଚିରେ
naritwara,ନାରୀତ୍ବର
bhagidariku,ଭାଗିଦାରୀକୁ
chamakijibe,ଚମକିଯିବେ
proliferation,ପ୍ରୋଲିଫେରେସନ୍
naleenaku,ନଳୀନକୁ
hoithachiba,ହୋଇଥଚିବା
jagatsinghupara,ଜଗତସିଂହୁପର
chikjajur,ଚିକଜାଜୁର
parbandhak,ପ୍ରବନ୍ଧକ
marinathae,ମରିନଥାଏ
painathau,ପାଇନଥାଉ
sheshadrinku,ଶେଷାଦ୍ରୀଙ୍କୁ
yarri,ୟାରି
shresthabhakta,ଶ୍ରେଷ୍ଠଭକ୍ତ
karineiparibe,କରିନେଇପାରିବେ
saptagiri,ସପ୍ତଗିରି
jhiare,ଝିଅରେ
rajaputanku,ରାଜପୁତଙ୍କୁ
rasikamananka,ରସିକମାନଙ୍କ
mahakalankara,ମହାକାଳଙ୍କର
padiaatiku,ପଡ଼ିଆଟିକୁ
alokbarshi,ଆଲୋକବର୍ଷୀ
bibhinnastarare,ବିଭିନ୍ନସ୍ତରରେ
dhanushakotire,ଧନୁଷକୋଟିରେ
sabubarna,ସବୁବର୍ଣ୍ଣ
baruneswara,ବରୁଣେଶ୍ୱର
chikilire,ଚିକିଲିରେ
badabohu,ବଡ଼ବୋହୁ
deepankaraku,ଦୀପଙ୍କରକୁ
annargala,ଅନ୍ନର୍ଗଳା
mahasanjoga,ମହାସଂଯୋଗ
durbalataku,ଦୂର୍ବଳତାକୁ
ppf,ପିପିଏଫ
solabandh,ସୋଲାବନ୍ଧ
sambhaddita,ସମ୍ଭଦ୍ଦିତ
khelaru,ଖେଳରୁ
smaglaranka,ସ୍ମଗ୍ଲରଙ୍କ
dhanumuan,ଧନୁମୁଆଁ
relapathaku,ରେଳପଥକୁ
obad,ଓବଦ୍
helikaptararu,ହେଲିକପ୍ଟରରୁ
ghariaaru,ଘରିଆରୁ
makenjinku,ମାକେଞ୍ଜିଙ୍କୁ
rasulat,ରସୁଲତ
duruguda,ଦୁରୁଗୁଡା
padhagharaku,ପଢ଼ାଘରକୁ
kartabyanishtha,କର୍ତ୍ତବ୍ୟନିଷ୍ଠ
chichra,ଚିଚ୍ର
lokathile,ଲୋକଥିଲେ
dubankura,ଦୁବାଙ୍କୁର
lalatankira,ଲାଲଟାଙ୍କିର
lasika,ଲାସିକା
bujhibasujhiba,ବୁଝିବାସୁଝିବା
filmicity,ଫିଲ୍ମିସିଟି
bijayachouka,ବିଜୟଚୌକ
kalikesh,କଲିକେଶ
eloctronic,ଇଲୋକ୍ଟ୍ରନିକ
atithiparayana,ଅତିଥିପରାୟଣ
gabeshakamananku,ଗବେଷକମାନଙ୍କୁ
elite,ଇଲାଇଟ୍
bujhiparanti,ବୁଝିପାରନ୍ତି
pranutan,ପ୍ରନୂତନ
darapur,ଦାରାପୁର
bandhakamukta,ବନ୍ଧକମୁକ୍ତ
jahu,ଜାହୁ
rajyaswartha,ରାଜ୍ୟସ୍ୱାର୍ଥ
drughatanare,ଦୃଘଟଣାରେ
escott,ଏସକଟ
deputationre,ଡେପୁଟେଶନରେ
kalapadigala,କଳାପଡିଗଲା
pradarshakara,ପ୍ରଦର୍ଶକର
madhurapani,ମଧୁରପାଣି
odishapradesha,ଓଡ଼ିଶାପ୍ରଦେଶ
kathgar,କାଠଗର
jalilabele,ଜାଳିଲାବେଳେ
rajaparibaranku,ରାଜପରିବାରଙ୍କୁ
ghatauchhanti,ଘଟାଉଛନ୍ତି
nedaralandaku,ନେଦରଲାଣ୍ଡକୁ
mahamanabar,ମହାମାନବର
chashibhaira,ଚାଷୀଭାଇର
anshagrahanakareemane,ଅଂଶଗ୍ରହଣକାରୀମାନେ
abyastha,ଅବ୍ୟସ୍ଥା
meerabainku,ମୀରାବାଇଙ୍କୁ
jetipinka,ଜେଟିପିଙ୍କ
ople,ଓପିଏଲ୍ଇ
deenabandhunka,ଦୀନବନ୍ଧୁଙ୍କ
kendramanankaru,କେନ୍ଦ୍ରମାନଙ୍କରୁ
kundabai,କୁଣ୍ଡବାଇ
rameshwarananda,ରାମେଶ୍ୱରାନନ୍ଦ
karamatola,କରମଟୋଲା
raisalpadar,ରାଇସଲପଦର
newbalance,ନ୍ୟୁବାଲାନ୍ସ
medinaru,ମେଦିନାରୁ
saenku,ସାଏଙ୍କୁ
badanka,ବଡ଼ଙ୍କ
swarnaprasoo,ସ୍ୱର୍ଣ୍ଣପ୍ରସୂ
tantrikanka,ତାନ୍ତ୍ରିକଙ୍କ
lagaparibe,ଲଗାପାରିବେ
sangasana,ସାଙ୍ଗସନ
entreprises,ଏଂଟରପ୍ରାଇଜେସ୍
soipadile,ଶୋଇପଡିଲେ
deonku,ଦେଓଙ୍କୁ
shimilipadara,ଶିମିଳିପଦର
champadebinku,ଚମ୍ପାଦେବୀଙ୍କୁ
bakreshwa,ବକ୍ରେଶ୍ୱ
muhurtatiku,ମୁହୁର୍ତଟିକୁ
sabugeeta,ସବୁଗୀତ
prebounce,ପ୍ରିବାଉନ୍ସ
fill,ଫିଲ
bindankara,ବିନ୍ଦଙ୍କର
debagurunka,ଦେବଗୁରୁଙ୍କ
badaibaku,ବଡାଇବାକୁ
kamapally,କମାପଲ୍ଲୀ
gajare,ଗଜରେ
sadharananirbachana,ସାଧାରଣନିର୍ବାଚନ
bhairasku,ଭାଇରସ୍କୁ
nigamare,ନିଗମରେ
sarakaristarare,ସରକାରିସ୍ତରରେ
bamada,ବାମଡ଼ା
anumadita,ଅନୁମାଦିତ
pslv,ପିଏସଏଲଭି
amresh,ଅମ୍ରେଶ
nagra,ନାଗ୍ରା
tabloid,ଟାବଲଏଡ
anganawadikarmeenka,ଅଙ୍ଗନୱାଡିକର୍ମୀଙ୍କ
prukta,ପୃକ୍ତ
sarukud,ସାରୁକୁଦ
pahanchuthiba,ପହଂଚୁଥିବା
whatsapper,ହ୍ୱାଟସ୍ଆପର
prapyara,ପ୍ରାପ୍ୟର
malyankatharu,ମାଲ୍ୟାଙ୍କଠାରୁ
chadau,ଚଡାଉ
kanimoi,କାନିମୋଇ
soe,ସୋଏ
dooratajaen,ଦୂରତାଯାଏଁ
karmeechareenku,କର୍ମୀଚାରୀଙ୍କୁ
rajastanare,ରାଜସ୍ତାନରେ
skyle,ସ୍କାଇଲ୍
tadurdha,ତଦୁର୍ଧ
bhiainka,ଭିଆଇଙ୍କ
dilleswara,ଦିଲ୍ଲେଶ୍ବର
bishnudeithiba,ବିଷ୍ଣୁଦେଇଥିବା
esapire,ଏସପିରେ
piramal,ପୀରାମଲ
kulaste,କୁଲସ୍ତେ
goureeshankara,ଗୌରୀଶଙ୍କର
mukeshankatharu,ମୁକେଶଙ୍କଠାରୁ
oketa,ଓକେଟ
pws,ପିଡବ୍ଲ୍ୟୁଏସ
rahf,ରହଫ
minimal,ମିନିମାଲ୍
saminku,ସାମିଙ୍କୁ
pleyaranku,ପ୍ଲେୟାରଙ୍କୁ
nibhaile,ନିଭାଇଲେ
ramanigana,ରମଣୀଗଣ
scaping,ସ୍କେପିଂ
padmankumar,ପଦ୍ମନକୁମାର
wadermanankara,ୱାଡରମାନଙ୍କର
karbar,କରବାର
anchalathu,ଅଞ୍ଚଳଠୁ
courtisolar,କୋର୍ଟିସୋଲର
kalandipatana,କାଳନ୍ଦୀପାଟଣା
padoshimanankara,ପଡୋଶୀମାନଙ୍କର
matimisha,ମାଟିମିଶା
pradaktasare,ପ୍ରଡକ୍ଟସରେ
nishpasana,ନିଷ୍ପାସନ
paunu,ପାଉନୁ
gambari,ଗମ୍ବାରି
sampruktanku,ସମ୍ପୃକ୍ତଙ୍କୁ
electanics,ଇଲେକ୍ଟେନିକ୍ସ
cerebral,ସେରେବ୍ରାଲ୍
johannes,ଜୋହାନ୍ସ୍
lagaa,ଲଗା
strokru,ଷ୍ଟ୍ରୋକ୍ରୁ
bimakarta,ବୀମାକର୍ତ୍ତା
rajaneetithu,ରାଜନୀତିଠୁ
sarbapari,ସର୍ବାପରି
bandopadhyayanka,ବନ୍ଦୋପାଧ୍ୟାୟଙ୍କ
kathita,କଥିତ
madhyahnabhojanara,ମଧ୍ୟାହ୍ନଭୋଜନର
chaluachhi,ଚାଲୁଅଛି
sarobara,ସରୋବର
boudhabhikhunkara,ବୌଦ୍ଧଭିକ୍ଷୁଙ୍କର
khristacharchcha,ଖ୍ରୀଷ୍ଟଚର୍ଚ୍ଚ
tatasthita,ତଟସ୍ଥିତ
janmiba,ଜନ୍ମିବ
grahajanita,ଗ୍ରହଜନିତ
inventory,ଇନଭେଣ୍ଟରୀ
asantustianku,ଅସନ୍ତୁଷ୍ଟିଆଙ୍କୁ
gurmantra,ଗୁରମନ୍ତ୍ର
kenine,କେନାଇନ
highcarbon,ହାଇକାର୍ବନ
duhkharu,ଦୁଃଖରୁ
trutiru,ତ୍ରୁଟିରୁ
baxaraku,ବକ୍ସରକୁ
pashuni,ପଶୁନି
ojei,ଓଜେଇ
jubateejanaka,ଯୁବତୀଜଣକ
talati,ତାଲାଟି
lenz,ଲେଞ୍ଜ୍
playg,ପ୍ଲେଗ୍
haraibapain,ହରାଇବାପାଇଁ
sapabuluthibara,ସାପବୁଲୁଥିବାର
janabahanagudika,ଯାନବାହନଗୁଡିକ
karideiparanti,କରିଦେଇପାରନ୍ତି
kuaramundasthita,କୁଆରମୁଣ୍ଡାସ୍ଥିତ
riksa,ରିକ୍ସା
modimaya,ମୋଦିମୟ
alubukhara,ଆଲୁବୁଖାରା
junana,ଜୁନାନା
kemmu,ଖେମୁ
anglikan,ଆଙ୍ଗ୍ଲିକାନ୍
kothibaga,କୋଠିବାଗ
khanimalikamanankatharu,ଖଣିମାଲିକମାନଙ୍କଠାରୁ
basasthala,ବାସସ୍ଥଳ
dakhyatanku,ଦକ୍ଷତାଙ୍କୁ
nruta,ନୃତ
enjalanka,ଏଞ୍ଜଲଙ୍କ
chakshusamasyara,ଚକ୍ଷୁସମସ୍ୟାର
aadmi,ଆଦମି
bandhili,ବାନ୍ଧିଲି
gruhajudhare,ଗୃହଯୁଦ୍ଧରେ
rangabati,ରାଙ୍ଗବତୀ
bandhar,ବାନ୍ଧର
rukmineenkara,ରୁକ୍ମିଣୀଙ୍କର
mendulinka,ମେଣ୍ଡୁଳିଙ୍କ
abhijatrimananku,ଅଭିଯାତ୍ରୀମାନଙ୍କୁ
debashilpeenka,ଦେବଶିଳ୍ପୀଙ୍କ
manante,ମାନନ୍ତେ
granthiru,ଗ୍ରନ୍ଥିରୁ
pradhikari,ପ୍ରାଧିକାରୀ
bankisholare,ବାଙ୍କିଶୋଳରେ
ramgad,ରାମଗଡ
mantranala,ମନ୍ତ୍ରଣାଳ
pratharu,ପ୍ରଥରୁ
badhaidei,ବଢାଇଦେଇ
karjyagudikare,କାର୍ଯ୍ୟଗୁଡ଼ିକରେ
myanyata,ମ୍ୟାନ୍ୟତା
flamingonka,ଫ୍ଲେମିଂଗୋଙ୍କ
shunkhalita,ଶୁଙ୍ଖଳିତ
dhirmohan,ଧୀରମୋହନ
bhetibeni,ଭେଟିବେନି
garadapurasthita,ଗରଦପୁରସ୍ଥିତ
pyareebabunkara,ପ୍ୟାରୀବାବୁଙ୍କର
pakhyaghata,ପକ୍ଷାଘାତ
neibaliudare,ନେଇବଲିଉଡରେ
biharira,ବିହାରୀର
jahnaratira,ଜହ୍ନରାତିର
dialysis,ଡାଏଲିସିସ
chipibaru,ଚିପିବାରୁ
atigurutwapurna,ଅତିଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ
mrutruya,ମୃତ୍ରୁ୍ୟ
kandhamane,କନ୍ଧମାନେ
hataithile,ହଟାଇଥିଲେ
bhartihoithilo,ଭର୍ତିହୋଇଥିଲୋ
kudupakia,କୁଡୁପାକିଆ
khusio,ଖୁସିଓ
shagadagadire,ଶଗଡ଼ଗାଡ଼ିରେ
